genes,tair_symbol,description,log2FoldChange,padj,uniprotswissprot,external_gene_name,external_gene_source,batchcorr,refgroup,logFC_scheible2004,Padj_scheible2004,logFC_nguyen2017,Padj_nguyen2017,notes,qPCR_gene
AT3G47420,ATPS3,Putative glycerol-3-phosphate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5L3],-1.646532146,5.84274E-10,Q9C5L3,ATPS3,TAIR Gene Name,r+p,em2,0.744431665115359,4.54521665819729e-05,NA,NA,induced by P starvation,
AT1G12805,,Nucleotide binding protein [Source:UniProtKB/TrEMBL;Acc:Q3EDD5],-3.324512055,0.007541103,,,,r,em6,NA,NA,3.625,0.00059,,
AT2G47520,HRE2,Ethylene-responsive transcription factor ERF071 [Source:UniProtKB/Swiss-Prot;Acc:O22259],-2.998875259,0.021557511,O22259,ERF071,UniProtKB Gene Name,r,em6,1.57584979986481,1.96733288562519e-07,5.175,2.6e-05,,
AT1G62280,SLAH1,SLAH1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8P4],-2.881545794,0.022198576,Q5E930,SLAH1,UniProtKB Gene Name,p,nm24,NA,NA,NA,NA,,
AT5G17340,,At5g17340 [Source:UniProtKB/TrEMBL;Acc:Q9FYN3],-2.881068615,0.041871791,,,,p,nm2,-0.385287876457389,0.0118478665728002,NA,NA,,
AT1G68740,PHO1;H1,Phosphate transporter PHO1 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZF5],-1.58572287,0.002326885,Q93ZF5,PHO1-H1,UniProtKB Gene Name,r+p,em2,-0.48815172880051,0.000860092993220718,NA,NA,rouached 2010; links P starvation to the actual phenotype,y
AT3G16360,AHP4,AHP4 [Source:UniProtKB/TrEMBL;Acc:A0A384KT90],-2.564169919,0.017532726,Q9LU15,AHP4,TAIR Gene Name,r,em6,-0.594533697411519,1.22754023883865e-05,NA,NA,,
AT3G44860,FAMT,Farnesoic acid carboxyl-O-methyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9FYC4],-2.432014996,0.005296438,Q9FYC4,FAMT,TAIR Gene Name,r,nm2,NA,NA,NA,NA,,
AT4G33560,,At4g33560 [Source:UniProtKB/TrEMBL;Acc:O81873],-2.409903134,0.042651155,,,,r,em6,NA,NA,2.846,0.00024,,
AT4G15210,ATBETA-AMY,Beta-amylase 5 [Source:UniProtKB/Swiss-Prot;Acc:P25853],-2.397595112,0.022363456,,BAM5,UniProtKB Gene Name,p,nm2,NA,NA,NA,NA,,
AT1G19610,LCR78,Defensin-like protein 19 [Source:UniProtKB/Swiss-Prot;Acc:P82787],-2.306198326,0.009965824,P82787,PDF1.4,UniProtKB Gene Name,p,en2,-0.561036548304176,0.00550570048720837,NA,NA,,
AT5G20410,MGD2,"Monogalactosyldiacylglycerol synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82730]",-1.576923084,0.000359192,O82730,MGD2,UniProtKB Gene Name,r+p,em2,0.534993832052051,0.00580383112290433,NA,NA,plays role in both P and N starvation (Gaude 2007) but oppositve effect than what is seen here,
AT2G42540,COR15A,"Protein COLD-REGULATED 15A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42512]",-2.239166768,0.036641881,,COR15A,UniProtKB Gene Name,r+p,nm6,NA,NA,0.792,0.032,,
AT4G33070,,Pyruvate decarboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:O82647],-2.223929454,0.011176645,O82647,PDC1,UniProtKB Gene Name,r,em6,1.48085452510355,0.000938957410880219,2.906,0.00022,,
AT5G01600,ATFER1,"Ferritin-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39101]",-2.203114199,0.000200753,Q39101,FER1,UniProtKB Gene Name,r,em6,1.59696869581469,0.000180188118739393,1.261,0.0016,,
AT5G01595,NA,NA,-2.20164085,0.000200753,NA,NA,NA,r,em6,NA,NA,NA,NA,,
AT5G01220,SQD2,Sulfoquinovosyl transferase SQD2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4F6],-1.557363036,2.37216E-10,Q8S4F6,SQD2,UniProtKB Gene Name,r+p,em2,0.504646720611612,0.00509124601137092,NA,NA,sqd2 mutant shows retarded growth in P starvation (Bin Yu 2002),
AT5G20410,MGD2,"Monogalactosyldiacylglycerol synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82730]",-1.466007138,0.000430458,O82730,MGD2,UniProtKB Gene Name,p,em2,0.534993832052051,0.00580383112290433,NA,NA,plays role in both P and N starvation (Gaude 2007) but oppositve effect than what is seen here,
AT5G20150,ATSPX1,SPX domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBH4],-1.428983371,2.14281E-09,Q8LBH4,SPX1,UniProtKB Gene Name,r+p,em2,NA,NA,NA,NA,"Pi starvation (Yan, 2019)",y
AT3G09922,IPS1,induced by phosphate starvation1 [Source:TAIR;Acc:AT3G09922],-1.287096452,1.11496E-06,,IPS1,TAIR Gene Name,r,em2,NA,NA,NA,NA,medici 2019,
AT3G43110,,At3g43110 [Source:UniProtKB/TrEMBL;Acc:Q9M250],-2.024501734,0.001904647,,,,p,nm2,NA,NA,NA,NA,,
AT1G61800,GPT2,glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800],-1.992919152,0.002202425,Q94B38,GPT2,TAIR Gene Name,r,nm2,5.48732813978091,1.37877601696773e-06,2.331,0.00034,,
AT1G72140,,Protein NRT1/ PTR FAMILY 5.12 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7U1],-0.966880179,0.040199175,Q9C7U1,NPF5.12,UniProtKB Gene Name,r,em2,-0.922005617659495,0.000207983611190004,NA,NA,"involved in: nitrate transport, response to nematode, mostly expressed in roots (TAIR, GO accessions)",
AT1G32450,NRT1.5,Protein NRT1/ PTR FAMILY 7.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQL2],0.579610442,0.02112585,Q9LQL2,NPF7.3,UniProtKB Gene Name,r,em2,1.12359497977204,7.87291369842319e-07,NA,NA,"involved in: nitrate transport from root to shoot. Induced in high and low N conc. Not involved in N uptake. Expressed in root pericycle under the control of MYB59 (TAIR, GO accessions)",
AT2G40300,ATFER4,"Ferritin-4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S756]",-1.94537714,0.010704836,Q9S756,FER4,UniProtKB Gene Name,r,em6,0.265541627095305,0.0366209090601185,NA,NA,,
AT1G77760,NIA1,Nitrate reductase [Source:UniProtKB/TrEMBL;Acc:A0A178WBR8],0.681327149,0.016121557,P11832,NIA1,UniProtKB Gene Name,r,em2,0.237182637279924,0.0389593345820768,NA,NA," Involved in the first step of nitrate assimilation, it contributes about 15% of the nitrate reductase activity in shoots.",
AT1G32450,NRT1.5,Protein NRT1/ PTR FAMILY 7.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQL2],0.85792654,0.000382041,Q9LQL2,NPF7.3,UniProtKB Gene Name,p,em2,1.12359497977204,7.87291369842319e-07,NA,NA,"involved in: nitrate transport from root to shoot. Induced in high and low N conc. Not involved in N uptake. Expressed in root pericycle under the control of MYB59 (TAIR, GO accessions)",y
AT2G33790,ATAGP30,Non-classical arabinogalactan protein 30 [Source:UniProtKB/Swiss-Prot;Acc:P93013],-1.88346856,0.007922867,P93013,AGP30,UniProtKB Gene Name,r,nm2,0.852595379551393,4.7925211292155e-05,NA,NA,,
AT4G15200,FH3,formin 3 [Source:TAIR;Acc:AT4G15200],-1.873090979,0.015098458,,AFH3,TAIR Gene Name,p,em24,-0.298471562171228,0.0426235752647125,NA,NA,,
AT5G20150,ATSPX1,SPX domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBH4],-1.858801643,0.019250698,Q8LBH4,SPX1,UniProtKB Gene Name,r,em6,NA,NA,NA,NA,,
AT4G24890,ATPAP24,Probable inactive purple acid phosphatase 24 [Source:UniProtKB/Swiss-Prot;Acc:Q8H1R2],-1.831099144,0.006152288,Q8H1R2,PAP24,UniProtKB Gene Name,p,nm2,NA,NA,NA,NA,,
AT2G40000,HSPRO2,Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203],1.212449446,3.38976E-06,O04203,HSPRO2,UniProtKB Gene Name,r,em2,NA,NA,NA,NA,nematode,y
AT5G63160,BT1,BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7],1.397433828,9.3394E-11,Q9FMK7,BT1,UniProtKB Gene Name,r,em2,NA,NA,NA,NA,involved in N starvation signalling (Fredes 2019),y
AT1G73630,,Probable calcium-binding protein CML26 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9U8],-1.728939218,0.00697547,Q9C9U8,CML26,UniProtKB Gene Name,p,en6,0.808099956320148,7.54931153083186e-06,NA,NA,,
AT3G48360,BT2,BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0],1.437688142,1.27975E-05,,BT2,UniProtKB Gene Name,r,em2,-4.2783738478957,7.12048911614009e-08,NA,NA,involved in N starvation signalling (Fredes 2019),
AT4G37610,BT5,BTB/POZ and TAZ domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6EJ98],1.515584632,0.00165937,Q6EJ98,BT5,UniProtKB Gene Name,p,em2,-2.41620085977786,1.69726355891556e-07,NA,NA,homologue BT1 is involved in N starvation signalling,
AT5G63160,BT1,BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7],1.538127803,0.000942346,Q9FMK7,BT1,UniProtKB Gene Name,p,em2,NA,NA,NA,NA,involved in N starvation signalling (Fredes 2019),
AT4G37610,BT5,BTB/POZ and TAZ domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6EJ98],1.661451623,0.000151989,Q6EJ98,BT5,UniProtKB Gene Name,r+p,em2,-2.41620085977786,1.69726355891556e-07,NA,NA,homologue BT1 is involved in N starvation signalling,
AT5G20410,MGD2,"Monogalactosyldiacylglycerol synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82730]",-1.649222078,0.007922867,O82730,MGD2,UniProtKB Gene Name,r,nm2,0.534993832052051,0.00580383112290433,NA,NA,,
AT4G37610,BT5,BTB/POZ and TAZ domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6EJ98],1.711148636,5.82177E-17,Q6EJ98,BT5,UniProtKB Gene Name,r,em2,-2.41620085977786,1.69726355891556e-07,NA,NA,homologue BT1 is involved in N starvation signalling,
AT4G04490,CRK36,Cysteine-rich receptor-like protein kinase 36 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEC6],-1.614255646,0.013927034,Q9XEC6,CRK36,UniProtKB Gene Name,p,en2,3.00349343848913,6.2495884565431e-06,NA,NA,,
AT4G15540,,WAT1-related protein At4g15540 [Source:UniProtKB/Swiss-Prot;Acc:F4JK59],-1.610772543,0.042432378,F4JK59,,,r,em6,NA,NA,NA,NA,,
AT3G15500,ATNAC3,NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3],1.737665029,0.032295184,Q9LDY8,NAC055,UniProtKB Gene Name,p,em2,1.37386098153939,3.51741662307427e-07,NA,NA,leaf senescence but also nitrogen recycling enzymes (Yang 2015),
AT1G69490,NAP,NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0],2.007136742,0.003601576,O49255,NAC029,UniProtKB Gene Name,p,em2,3.02078550357009,1.52808302696869e-09,NA,NA,leaf senescence but also nitrogen recycling enzymes (Yang 2015),y
AT5G56550,OXS3,Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9],2.49806794,8.11562E-21,,OXS3,TAIR Gene Name,r,em2,NA,NA,NA,NA,response to oxidative stress,
AT5G56550,OXS3,Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9],2.745416083,3.56199E-17,,OXS3,TAIR Gene Name,p,em2,NA,NA,NA,NA,response to oxidative stress,
AT5G56550,OXS3,Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9],2.893596785,1.45568E-05,,OXS3,TAIR Gene Name,r+p,em2,NA,NA,NA,NA,response to oxidative stress,y
AT5G59310,LTP4,Non-specific lipid-transfer protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LLR6],-3.370657505,0.039611672,Q9LLR6,LTP4,UniProtKB Gene Name,r,em2,NA,NA,NA,NA,,
AT4G23210,CRK13,Cysteine-rich receptor-like protein kinase 13 [Source:UniProtKB/Swiss-Prot;Acc:Q0PW40],-1.55248633,0.04172655,,CRK13,UniProtKB Gene Name,p,en2,NA,NA,NA,NA,,
AT5G49340,TBL4,Protein trichome birefringence-like 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ06],-1.54480367,0.03668872,Q9FJ06,TBL4,UniProtKB Gene Name,p,em24,NA,NA,NA,NA,,
AT1G52700,,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1P8AQT5],-1.526315677,0.015353256,,,,p,nm24,-0.3754094232982,0.0375730776403323,NA,NA,,
AT1G61800,GPT2,glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800],-1.524739512,0.038322904,Q94B38,GPT2,TAIR Gene Name,p,nm2,5.48732813978091,1.37877601696773e-06,2.331,0.00034,,
AT3G02030,,Transferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LSS3],-1.516604968,0.002823901,,,,r,nm2,NA,NA,NA,NA,,
AT5G20790,,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation an /.../nsion stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G43110.1); Ha. [Source:TAIR;Acc:AT5G20790]",-1.509679088,4.63339E-05,,,,p,nm2,0.588140020378646,0.000231205121521764,NA,NA,,
AT1G61800,GPT2,glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800],-2.295244288,0.001946738,Q94B38,GPT2,TAIR Gene Name,p,em2,5.48732813978091,1.37877601696773e-06,2.331,0.00034,,
AT5G24660,LSU2,Protein RESPONSE TO LOW SULFUR 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIR9],-1.503484371,0.000619401,Q9FIR9,LSU2,UniProtKB Gene Name,p,en6,1.13310962033912,4.67183601194328e-06,1.592,8.3e-05,,
ATCG00450,NA,NA,-1.482732201,0.031456683,NA,NA,NA,r,nm24,NA,NA,NA,NA,,
AT5G17340,,At5g17340 [Source:UniProtKB/TrEMBL;Acc:Q9FYN3],-2.161025677,0.002456363,,,,p,em2,-0.385287876457389,0.0118478665728002,NA,NA,,
AT5G53048,NA,NA,-1.462004819,0.015977831,NA,NA,NA,p,en24,NA,NA,NA,NA,,
AT1G23110,,Fold protein [Source:UniProtKB/TrEMBL;Acc:Q6DSU0],-2.058859974,3.77812E-07,,,,r+p,em2,NA,NA,NA,NA,,
AT3G30720,QQS,Protein QQS [Source:UniProtKB/Swiss-Prot;Acc:Q3E7K4],-1.454657706,0.008485352,Q3E7K4,QQS,UniProtKB Gene Name,p,em24,NA,NA,NA,NA,,
AT3G02040,SRG3,"Glycerophosphodiester phosphodiesterase GDPD1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SGA2]",-1.453007671,0.009100772,Q9SGA2,GDPD1,UniProtKB Gene Name,p,nm2,-0.758406398694714,6.66504255791554e-05,NA,NA,,
AT3G43110,,At3g43110 [Source:UniProtKB/TrEMBL;Acc:Q9M250],-1.990167152,0.00988255,,,,p,em2,NA,NA,NA,NA,,
AT1G61800,GPT2,glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800],-1.888425429,1.90614E-16,Q94B38,GPT2,TAIR Gene Name,r,em2,5.48732813978091,1.37877601696773e-06,2.331,0.00034,,
AT1G09350,AtGolS3,Hexosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PVD7],-1.436491798,0.002724583,O80518,GOLS3,UniProtKB Gene Name,p,nm2,-0.33241372084371,0.0396680784823366,NA,NA,,
AT1G17710,,Inorganic pyrophosphatase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ62],-1.776029063,1.04426E-07,Q9FZ62,,,r+p,em2,NA,NA,0.773,0.043,,
AT2G40000,HSPRO2,Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203],-1.421765907,0.006601432,O04203,HSPRO2,UniProtKB Gene Name,r,nm6,NA,NA,NA,NA,,
AT1G53540,,17.6 kDa class I heat shock protein 3 [Source:UniProtKB/Swiss-Prot;Acc:P13853],-1.755965983,0.040013926,P13853,HSP17.6C,UniProtKB Gene Name,r,em2,1.14314772290812,0.000542580629708241,NA,NA,,
AT5G09470,DIC3,DIC3 [Source:UniProtKB/TrEMBL;Acc:A0A178UKG1],-1.413658352,0.036799435,Q9FY68,PUMP6,UniProtKB Gene Name,p,nm2,0.414802498435096,0.0155954313692279,3.168,4.5e-05,,
AT2G45135,,RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IW24],-1.721749115,0.004563755,,,,p,em2,NA,NA,NA,NA,,
AT2G43535,,Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7],-1.407240959,0.018955855,Q8RYE7,ATTI4,UniProtKB Gene Name,p,nm2,-2.29164568706378,1.29729376184343e-09,NA,NA,,
AT2G18530,,Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9ZU68],-1.719666434,0.02647336,,,,p,em2,NA,NA,NA,NA,,
AT2G33670,MLO5,MLO-like protein 5 [Source:UniProtKB/Swiss-Prot;Acc:O22815],-1.669122326,0.019873166,O22815,MLO5,UniProtKB Gene Name,p,em2,NA,NA,NA,NA,,
AT1G61800,GPT2,glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800],-1.664566686,0.000432112,Q94B38,GPT2,TAIR Gene Name,r+p,em2,5.48732813978091,1.37877601696773e-06,2.331,0.00034,,
AT5G55110,,Stigma-specific STIG1-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLQ0],-1.397082379,0.035677434,Q9FLQ0,,,p,nm2,NA,NA,NA,NA,,
AT4G16540,,Heat shock protein HSP20/alpha crystallin family [Source:UniProtKB/TrEMBL;Acc:O23498],-1.609401198,0.001946738,,,,p,em2,-0.879711142867513,2.15933493432249e-05,NA,NA,,
AT5G53050,,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LVU7],-1.389355931,0.015977831,,,,p,en24,-0.245511485506978,0.0352484131503759,NA,NA,,
AT4G02970,AT7SL-1,,-1.386661475,0.042859879,,AT7SL-1,TAIR Gene Name,p,en6,NA,NA,NA,NA,,
AT4G08780,,Peroxidase 38 [Source:UniProtKB/Swiss-Prot;Acc:Q9LDA4],-1.374705908,0.022198576,Q9LDA4,PER38,UniProtKB Gene Name,p,nm24,NA,NA,1.13,0.0011,,
AT1G03020,,Monothiol glutaredoxin-S1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA68],-1.598577045,0.021190815,Q9SA68,GRXS1,UniProtKB Gene Name,p,em2,-0.24354345203661,0.0396487419030675,NA,NA,,
AT1G65500,,F5I14.4 protein [Source:UniProtKB/TrEMBL;Acc:O04468],-1.372621028,0.02036548,,,,p,en2,1.47409771023814,9.65250669246655e-06,0.731,0.013,,
AT2G43535,,Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7],-1.360109108,0.038864153,Q8RYE7,ATTI4,UniProtKB Gene Name,r,nm2,-2.29164568706378,1.29729376184343e-09,NA,NA,,
AT3G57157,NA,NA,-1.351656801,0.00016321,NA,NA,NA,p,nm2,NA,NA,NA,NA,,
AT3G15450,,AT3g15450/MJK13_11 [Source:UniProtKB/TrEMBL;Acc:Q9LE80],-1.350858673,0.000603176,,,,r,nm6,-3.4224557190487,1.00303171560396e-05,NA,NA,,
AT3G48360,BT2,BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0],-1.334976238,0.00616069,,BT2,UniProtKB Gene Name,r,nm6,-4.2783738478957,7.12048911614009e-08,NA,NA,,
AT3G02030,,Transferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LSS3],-1.334698025,4.63339E-05,,,,p,nm2,NA,NA,NA,NA,,
AT1G19200,,Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200],-1.320009889,0.027809575,,FLZ12,UniProtKB Gene Name,p,nm2,NA,NA,NA,NA,,
AT2G30540,,Monothiol glutaredoxin-S9 [Source:UniProtKB/Swiss-Prot;Acc:O04341],-1.319458012,0.027237967,O04341,GRXS9,UniProtKB Gene Name,p,en6,-0.433797370153702,0.024960292268659,NA,NA,,
AT2G35850,,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ65],-1.318830719,0.024153233,,,,p,en24,NA,NA,NA,NA,,
AT5G20790,,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation an /.../nsion stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G43110.1); Ha. [Source:TAIR;Acc:AT5G20790]",-1.587296674,0.019873166,,,,p,em2,0.588140020378646,0.000231205121521764,NA,NA,,
AT2G43535,,Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7],-1.577075618,9.99324E-09,Q8RYE7,ATTI4,UniProtKB Gene Name,r+p,em2,-2.29164568706378,1.29729376184343e-09,NA,NA,,
AT5G24140,SQP2,squalene monooxygenase 2 [Source:TAIR;Acc:AT5G24140],-1.315263006,0.049204001,O65403,SQP2,TAIR Gene Name,p,nm2,NA,NA,NA,NA,,
AT5G27660,,DEG14 [Source:UniProtKB/TrEMBL;Acc:A0A178UPC0],-1.503761964,0.004241618,Q3E6S8,,,r+p,em2,NA,NA,NA,NA,,
AT3G60280,UCC3,Uclacyanin-3 [Source:UniProtKB/Swiss-Prot;Acc:Q96316],-1.290417071,0.01757099,Q96316,UCC3,UniProtKB Gene Name,p,nm2,NA,NA,NA,NA,,
AT5G20150,ATSPX1,SPX domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBH4],-1.290004419,0.038864153,Q8LBH4,SPX1,UniProtKB Gene Name,r,nm2,NA,NA,NA,NA,"Pi starvation (Yan, 2019)",
AT1G80130,,F18B13.21 protein [Source:UniProtKB/TrEMBL;Acc:Q9SSC6],-1.28968425,0.031242177,,,,p,nm2,5.16349968342394,6.37756601877434e-08,1.118,0.0031,,
AT5G08030,,PLC-like phosphodiesterases superfamily protein [Source:TAIR;Acc:AT5G08030],-1.45772741,0.002876542,,,,p,em2,NA,NA,NA,NA,,
AT5G38140,NF-YC12,Nuclear transcription factor Y subunit C-10 [Source:UniProtKB/Swiss-Prot;Acc:Q58CM8],-1.280131545,0.044334965,Q58CM8,NFYC10,UniProtKB Gene Name,p,en24,NA,NA,NA,NA,,
AT4G37610,BT5,BTB/POZ and TAZ domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6EJ98],-1.278976794,0.005888608,Q6EJ98,BT5,UniProtKB Gene Name,r,nm6,-2.41620085977786,1.69726355891556e-07,NA,NA,,
AT3G02040,SRG3,"Glycerophosphodiester phosphodiesterase GDPD1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SGA2]",-1.450111222,5.84274E-10,Q9SGA2,GDPD1,UniProtKB Gene Name,r+p,em2,-0.758406398694714,6.66504255791554e-05,NA,NA,,
AT4G34950,,Major facilitator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SW40],-1.443487809,0.001797013,,,,p,em2,-0.858544717910008,2.2140743806019e-05,NA,NA,,
AT4G32480,,AT4g32480/F8B4_180 [Source:UniProtKB/TrEMBL;Acc:Q9SUU4],-1.265960647,0.002823901,,,,r,nm2,NA,NA,0.749,0.028,,
AT4G23600,CORI3,Cystine lyase CORI3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUR6],-1.261521586,0.024726576,,CORI3,UniProtKB Gene Name,r,nm2,-1.04780530131983,1.5715294863091e-05,1.293,0.00013,,
AT4G37370,CYP81D8,"Cytochrome P450, family 81, subfamily D, polypeptide 8 [Source:UniProtKB/TrEMBL;Acc:Q9SZT7]",-1.258432743,0.001012594,,CYP81D8,TAIR Gene Name,p,en2,2.90603029404142,4.64983244828495e-09,2.834,5.1e-05,,
