Group.1,transcript,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT1G16400,AT1G16400.1,243.712854051181,0.553600588572555,0.135408217038553,4.08838252714706,4.34391426615227e-05,0.00436102665568559,AT1G16400,CYP79F2,Q9FUY7,838210,Hexahomomethionine N-hydroxylase [Source:UniProtKB/Swiss-Prot;Acc:Q9FUY7],CYP79F2,UniProtKB Gene Name
AT1G17140,"AT1G17140.1,AT1G17140.2",266.671394386611,0.336981122599223,0.091460538782066,3.68444278906106,0.000229203498110059,0.0144343287560372,AT1G17140,ICR1,Q8LE98,838284,RIP1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8G4],ICR1,UniProtKB Gene Name
AT1G18210,"AT1G18210.2,AT1G18210.1","728.165455504359,1076.73189793087","-0.386208690373947,-0.325318910582513","0.0900050714208849,0.0829082698651599","-4.29096587866638,-3.92384150714524","1.77897650819717e-05,8.71480805896152e-05","0.00213027078493635,0.00759793660508935",AT1G18210,,Q9LE22,838401,Probable calcium-binding protein CML27 [Source:UniProtKB/Swiss-Prot;Acc:Q9LE22],CML27,UniProtKB Gene Name
AT1G19380,AT1G19380.1,535.325110221188,-0.574578577388411,0.15799932009139,-3.63658892364893,0.000276272297026978,0.0164332636504505,AT1G19380,,,838521,At1g19380 [Source:UniProtKB/TrEMBL;Acc:Q9LN60],,
AT1G19430,"AT1G19430.2,AT1G19430.1",180.374098129004,0.341666846272937,0.1034752807385,3.30191755784057,0.000960262895611111,0.0389553180386891,AT1G19430,,"Q9LN50,",838527,Probable methyltransferase PMT28 [Source:UniProtKB/Swiss-Prot;Acc:Q9LN50],,
AT1G21000,"AT1G21000.1,AT1G21000.2","413.196668302107,413.007779652659","-0.364982217803641,-0.365064192855579","0.070025570035166,0.0701044597102988","-5.21212776447734,-5.20743180054704","1.86686898408677e-07,1.91472175519576e-07","7.84006091528382e-05,7.92934146870446e-05",AT1G21000,,,838694,At1g21000/F9H16_1 [Source:UniProtKB/TrEMBL;Acc:Q93V70],,
AT1G21010,AT1G21010.1,111.994963492892,-0.569014113567963,0.122951625119598,-4.62795113943773,3.69301114316622e-06,0.000701366326469981,AT1G21010,,,838695,At1g21010 [Source:UniProtKB/TrEMBL;Acc:Q7XJ58],,
AT1G21400,"AT1G21400.3,AT1G21400.2,AT1G21400.5,AT1G21400.4,AT1G21400.6,AT1G21400.1","1066.21965977508,1065.21548542838","-0.45455264123379,-0.455247121608517","0.108749003541828,0.109338409919511","-4.17983270126199,-4.16365229697091","2.91723632288816e-05,3.13196949562416e-05","0.00321205784558894,0.00338354834967484",AT1G21400,,",Q9LPL5",838739,Thiamin diphosphate-binding fold (THDP-binding) superfamily protein [Source:TAIR;Acc:AT1G21400],,
AT1G21830,AT1G21830.1,238.364706259511,-0.332291525701867,0.0945018804887672,-3.51624247034284,0.000437701054387346,0.0228963725239781,AT1G21830,,,838785,At1g21820 [Source:UniProtKB/TrEMBL;Acc:Q8VY47],,
AT1G22280,"AT1G22280.3,AT1G22280.2,AT1G22280.3,AT1G22280.1","371.946290805511,386.560290334304,89.6323486458151","-0.299735050335973,-0.285742303306055,-0.485715892488666","0.0924548399315441,0.0875457016723844,0.139944761372387","-3.24196170322618,-3.26392156151043,-3.47076866418884","0.00118709973466602,0.00109881581590563,0.000518970890821708","0.0441343550979261,0.0422208649263634,0.0258577177414417",AT1G22280,PAPP2C,",Q9LME4",838835,Phytochrome-associated protein phosphatase type 2C [Source:UniProtKB/TrEMBL;Acc:F4I1B4],PAPP2C,TAIR Gene Name
AT1G22640,"AT1G22640.3,AT1G22640.1,AT1G22640.2","315.465173831486,315.076955855933","-0.290213302870209,-0.291666483414744","0.0894203110358185,0.0895413495091278","-3.24549645945606,-3.25733848120093","0.00117246022456697,0.00112462240932397","0.0438635464440568,0.0427715132382818",AT1G22640,ATMYB3,"Q9S9K9,",838870,MYB3 [Source:UniProtKB/TrEMBL;Acc:A0A178WFN1],MYB3,UniProtKB Gene Name
AT1G22850,AT1G22850.1,1848.00619019752,0.188520597396528,0.0528977470519258,3.56386817781618,0.000365429524594606,0.020252810659549,AT1G22850,,,838890,At1g22850/F29G20_19 [Source:UniProtKB/TrEMBL;Acc:O23137],,
AT1G22882,AT1G22882.1,367.292197068939,0.389520021845061,0.0730944031002962,5.32899928480957,9.87553856230455e-08,5.7737045747497e-05,AT1G22882,,F4I316,838894,SUN domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:F4I316],SUN3,UniProtKB Gene Name
AT1G23205,AT1G23205.1,203.472685520383,0.682272572564502,0.129771304707466,5.2574995227373,1.46027273414746e-07,6.91126224032933e-05,AT1G23205,,,838929,At1g23205 [Source:UniProtKB/TrEMBL;Acc:O49297],,
AT1G23390,AT1G23390.1,4952.57295409329,-0.327613460844252,0.0622173939279072,-5.26562493478698,1.39713266362344e-07,6.82923026741967e-05,AT1G23390,,Q9LDE3,838947,F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8],,
AT1G23710,AT1G23710.1,274.431717197059,-0.488752808285641,0.108006338721503,-4.52522337180509,6.03317493489914e-06,0.000941454877981459,AT1G23710,,,838981,At1g23710 [Source:UniProtKB/TrEMBL;Acc:Q9ZUC4],,
AT1G23730,AT1G23730.1,760.127646619391,0.350047827854022,0.080563108007524,4.34501394635035,1.39266814865944e-05,0.00176702919951398,AT1G23730,ATBCA3,Q9ZUC2,838983,Beta carbonic anhydrase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUC2],BCA3,UniProtKB Gene Name
AT1G23740,AT1G23740.1,895.494363034681,0.360051641678574,0.0782545811675002,4.60102956666397,4.20407741139678e-06,0.000773783803553196,AT1G23740,,Q9ZUC1,838984,"NADPH-dependent alkenal/one oxidoreductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUC1]",AOR,UniProtKB Gene Name
AT1G24440,AT1G24440.2,143.0322542214,-0.3144126032509,0.0973019832496586,-3.23130724318513,0.0012322540555692,0.0451207907990685,AT1G24440,,,839060,F21J9.10 [Source:UniProtKB/TrEMBL;Acc:Q9FYL9],,
AT1G25400,"AT1G25400.1,AT1G25400.2","1217.75640449309,1215.70658492938","-0.781016364557459,-0.781569123467154","0.138488945509726,0.138241918719317","-5.63955745119459,-5.65363336032707","1.70487763440789e-08,1.57091120206173e-08","1.21034134345571e-05,1.14243559297255e-05",AT1G25400,,,839126,At1g25400 [Source:UniProtKB/TrEMBL;Acc:Q9C6L0],,
AT1G25480,AT1G25480.1,47.566478774596,-0.571028821479905,0.160691123031177,-3.55358037649109,0.000380025049685037,0.0206773848658006,AT1G25480,,Q9C6L8,839134,Aluminum-activated malate transporter 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6L8],ALMT4,UniProtKB Gene Name
AT1G25550,"AT1G25550.2,AT1G25550.1","1098.38682407996,1098.25673764491","-0.483841312381158,-0.48363050064953","0.109379822873456,0.109370951837048","-4.42349694551002,-4.42192824078273","9.7116005599637e-06,9.78239482761173e-06","0.00132224106802026,0.00132582575715863",AT1G25550,,",Q9FPE8",839142,Transcription factor HHO3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPE8],HHO3,UniProtKB Gene Name
AT1G25560,AT1G25560.1,657.778734918821,-0.77403532743746,0.0852945292653665,-9.07485314831035,1.13830896696713e-19,1.69704792340295e-15,AT1G25560,TEM1,Q9C6M5,839143,AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5],TEM1,UniProtKB Gene Name
AT1G26208,"AT1G26208.3,AT1G26208.4,AT1G26208.5,AT1G26208.6,AT1G26208.1,AT1G26208.2","119.896193359669,122.773425440285,84.3709094401884,83.3198340784147,74.3115786981497","0.62088382719601,0.603143187360486,0.761439643803488,0.776665918606024,0.821854804923922","0.135074209107067,0.134275062879248,0.152873968187262,0.152710336789512,0.165216281347031","4.59661271608013,4.49184810959935,4.98083259584633,5.08587653549963,4.97441776454009","4.29414717696243e-06,7.0607774571166e-06,6.33112901351369e-07,3.65932055333848e-07,6.54440382926388e-07","0.00078072308765542,0.00106868630172003,0.00019871081452204,0.000125413748205625,0.000201169576265115",AT1G26208,"NA","NA","NA","NA","NA","NA"
AT1G26210,AT1G26210.1,107.172852335831,0.659261483238716,0.149338407776884,4.41454742321663,1.01221525859258e-05,0.00135951452096644,AT1G26210,ATSOFL1,,839162,At1g26210 [Source:UniProtKB/TrEMBL;Acc:Q67YG7],ATSOFL1,TAIR Gene Name
AT1G26270,AT1G26270.1,1440.89820611198,-0.235636094158207,0.0654332253568994,-3.60116886907152,0.000316789719591366,0.018234978897791,AT1G26270,,Q9C671,839168,Phosphatidylinositol 4-kinase gamma 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C671],PI4KG5,UniProtKB Gene Name
AT1G26761,AT1G26761.1,197.094174283482,0.345653751567473,0.0992654086035277,3.48211684644382,0.000497466570257181,0.0252261236825822,AT1G26761,,,6241260,Arabinanase/levansucrase/invertase [Source:UniProtKB/TrEMBL;Acc:Q93ZE3],,
AT1G27100,AT1G27100.1,489.923192721756,-0.342375383976095,0.0729422464879512,-4.6937872146925,2.68193000496974e-06,0.000562962406558671,AT1G27100,,,839599,Actin cross-linking protein [Source:UniProtKB/TrEMBL;Acc:Q0WQH3],,
AT1G27290,"AT1G27290.1,AT1G27290.2","1867.07494383517,1866.07618395347","-0.236315881709476,-0.237023922521444","0.0498195906465329,0.0497609357095441","-4.74343282718084,-4.76325292403983","2.10126641268001e-06,1.90496823825817e-06","0.000493334335644724,0.000454403503681151",AT1G27290,,,839618,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q94F23],,
AT1G27730,AT1G27730.1,608.954876439471,-0.655490125877604,0.102313289410728,-6.40669584227908,1.48707059479828e-10,1.64222162685557e-07,AT1G27730,STZ,Q96289,839666,Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289],ZAT10,UniProtKB Gene Name
AT1G27950,AT1G27950.1,2431.06234759367,0.266893351486076,0.0752999184557973,3.54440425646342,0.000393501393466713,0.0212170543381501,AT1G27950,LTPG1,Q9C7F7,839688,Non-specific lipid transfer protein GPI-anchored 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7F7],LTPG1,UniProtKB Gene Name
AT1G27970,AT1G27970.1,1922.10505534745,-0.208709247500555,0.0573176983464478,-3.64127055903474,0.000271295842151828,0.0162434299707652,AT1G27970,NTF2B,",Q9C7F5",839690,Nuclear transport factor 2B [Source:UniProtKB/TrEMBL;Acc:A8MS55],NTF2B,TAIR Gene Name
AT1G28280,AT1G28280.1,273.669515530817,-0.398635908569529,0.0827836717696489,-4.81539293979083,1.46910512652839e-06,0.000368103424854597,AT1G28280,,"Q5M750,",839722,VQ motif-containing protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q5M750],VQ4,UniProtKB Gene Name
AT1G28670,AT1G28670.1,278.73021389821,0.437585930204663,0.103203000343815,4.2400504708862,2.23469535228617e-05,0.00264412346504431,AT1G28670,ARAB-1,Q38894,839767,GDSL esterase/lipase At1g28670 [Source:UniProtKB/Swiss-Prot;Acc:Q38894],ARAB-1,TAIR Gene Name
AT1G30700,AT1G30700.1,101.292803892685,-0.546446398807042,0.146857063296449,-3.72094052911826,0.000198482180288337,0.0131514292659052,AT1G30700,,Q9SA85,839950,Berberine bridge enzyme-like 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA85],,
AT1G30755,"AT1G30755.3,AT1G30755.2,AT1G30755.4,AT1G30755.1,AT1G30755.5,AT1G30755.6,AT1G30755.3,AT1G30755.2,AT1G30755.4,AT1G30755.1,AT1G30755.5","59.454685655053,61.8167535148344,47.8978095087504,72.837919915171,68.1597232624742,67.5198783922055","-0.838549590725559,-0.784703081998497,-0.874966721439988,-0.773513280510828,-0.597132082153335,-0.596820804587521","0.195199515468964,0.19565667044501,0.232410389536172,0.201311227946758,0.169519549588342,0.169293308114665","-4.29585897644754,-4.01061246832902,-3.76474874116507,-3.84237525348266,-3.52249686601574,-3.52536559911326","1.74018187322159e-05,6.0561443363912e-05,0.00016671663662536,0.000121849349050713,0.000427502096188507,0.000422898707615715","0.00210922776072553,0.00569640554189831,0.0118776460329207,0.00956100537011869,0.0225452985395765,0.0223573949733649",AT1G30755,,,839956,"Elongation factor G, putative (DUF668) [Source:UniProtKB/TrEMBL;Acc:Q8L5Y3]",,
AT1G30757,"AT1G30757.1,AT1G30757.2","66.7708630019811,67.5640787408328","-0.610504174094696,-0.597969377516733","0.171056455870034,0.169496504919992","-3.56902153145595,-3.52791568061532","0.000358316979505783,0.000418845554018152","0.0199699764073344,0.0221824473963752",AT1G30757,,,839957,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8LGA4],,
AT1G32060,AT1G32060.1,5495.96855482242,0.203696500485827,0.0584543765636615,3.484709143446,0.000492672267183785,0.0250255689789079,AT1G32060,PRK,P25697,840098,Phosphoribulokinase [Source:UniProtKB/TrEMBL;Acc:A0A178WLP9],PRK,TAIR Gene Name
AT1G32170,AT1G32170.1,686.960056590024,-0.334331090309973,0.0717774414451957,-4.65788531296766,3.19474095493524e-06,0.000639312691632914,AT1G32170,XTR4,Q38908,840109,Probable xyloglucan endotransglucosylase/hydrolase protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q38908],XTH30,UniProtKB Gene Name
AT1G32230,"AT1G32230.4,AT1G32230.5","58.7678812557015,57.415469226933","-0.561491422210617,-0.548750260249151","0.157604357067147,0.156760479075172","-3.56266433656651,-3.50056508813045","0.000367109953242782,0.000464272847557206","0.0202705879182223,0.0239088488697983",AT1G32230,"AtRCD1,RCD1",",Q8RY59",840115,Poly [ADP-ribose] polymerase [Source:UniProtKB/TrEMBL;Acc:M5BF30],RCD1,UniProtKB Gene Name
AT1G32928,AT1G32928.1,312.021031238914,-0.757500291624496,0.130382513153768,-5.80983042358701,6.25361529406513e-09,4.6616011805785e-06,AT1G32928,,,3766886,Avr9/Cf-9 rapidly elicited protein [Source:UniProtKB/TrEMBL;Acc:Q56XA0],,
AT1G33240,"AT1G33240.2,AT1G33240.1,AT1G33240.3","593.103609683923,544.515891470022,544.416637854544","0.302705938160631,0.291045422896915,0.291425496114096","0.0881438437168401,0.0846013922879442,0.0846199339713286","3.43422666174017,3.44019660936939,3.44393433600219","0.000594247064034904,0.000581291747760238,0.000573314922811287","0.0285324713499657,0.028320875887201,0.0280698375262137",AT1G33240,AT-GTL1,",Q9C882",840218,GT-2-like 1 [Source:TAIR;Acc:AT1G33240],AT-GTL1,TAIR Gene Name
AT1G33610,AT1G33610.1,118.484953991891,-0.583980804827273,0.157275794589825,-3.71310033022114,0.000204735675349343,0.0134759462072657,AT1G33610,,,840255,Leucine-rich repeat (LRR) family protein [Source:UniProtKB/TrEMBL;Acc:F4HR91],,
AT1G34245,AT1G34245.1,242.740363731327,0.571639039103736,0.136794074850452,4.17882894217948,2.93013963175434e-05,0.00321205784558894,AT1G34245,EPF2,Q8LC53,840324,EPF2 [Source:UniProtKB/TrEMBL;Acc:A0A178W2V8],EPF2,UniProtKB Gene Name
AT1G34370,"AT1G34370.3,AT1G34370.1,AT1G34370.2","992.80513489859,1105.23019270818","-0.238070348922696,-0.22709061546103","0.0697899917200493,0.0632840253170565","-3.41123910542466,-3.58843506435145","0.000646683551540391,0.000332668825203037","0.0299878125292066,0.0189269324696342",AT1G34370,STOP1,"Q9C8N5,",840339,Protein SENSITIVE TO PROTON RHIZOTOXICITY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8N5],STOP1,UniProtKB Gene Name
AT1G36622,AT1G36622.1,99.2948339660446,-0.945194583562706,0.176207564253603,-5.36409766269941,8.13548797216577e-08,4.95052744624626e-05,AT1G36622,,,5007772,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q1G3E7],,
