gene,description
Solyc00g500050.1.1 ,"ATP synthase subunit alpha, chloroplastic (AHRD V3.3 *** I6N942_DATST)"
Solyc00g500051.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500052.1.1 ,DNA-directed RNA polymerase subunit beta'' (AHRD V3.3 *-* A0A1U8QCC7_CAPAN)
Solyc00g500053.2.1 ,DNA-directed RNA polymerase subunit beta (AHRD V3.11 *-* tr|I6N949|I6N949_DATST)
Solyc00g500054.1.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA)
Solyc00g500055.1.1 ,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)"
Solyc00g500056.1.1 ,DNA-directed RNA polymerase subunit alpha (AHRD V3.3 *-* A0A1U8QD90_CAPAN)
Solyc00g500057.1.1 ,Photosystem I P700 chlorophyll a apoprotein .1
Solyc00g500058.1.1 ,Photosystem I assembly protein Ycf3 (AHRD V3.3 *** A0A140F954_9LAMI)
Solyc00g500059.1.1 ,Photosystem I assembly protein Ycf3 (AHRD V3.3 *-* A0A1S5SJS5_ORYVI)
Solyc00g500061.1.1 ,Photosystem I assembly protein Ycf4 (AHRD V3.3 *** K4EQH2_DATST)
Solyc00g500062.1.1 ,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (AHRD V3.3 *** A0A1U8QCE3_CAPAN)"
Solyc00g500063.1.1 ,Ribulose bisphosphate carboxylase large chain (AHRD V3.3 *** A0A2G2Z7Q2_CAPAN)
Solyc00g500064.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500065.1.1 ,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (AHRD V3.3 *** ACCD_SOLLC)"
Solyc00g500066.1.1 ,Photosystem I assembly protein Ycf4 (AHRD V3.3 *** K4EQH2_DATST)
Solyc00g500067.1.1 ,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (AHRD V3.3 *** A0A1U8QCE3_CAPAN)"
Solyc00g500068.1.1 ,Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI)
Solyc00g500069.1.1 ,"30S ribosomal protein S12, chloroplastic (AHRD V3.3 *** A0A2S1JZH6_9APIA)"
Solyc00g500070.1.1 ,ATP-dependent Clp protease proteolytic subunit (AHRD V3.3 *** CLPP_SOLTU)
Solyc00g500071.1.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA)
Solyc00g500072.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500073.1.1 ,Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI)
Solyc00g500074.1.1 ,DNA-directed RNA polymerase subunit alpha (AHRD V3.3 *-* A0A1U8QD90_CAPAN)
Solyc00g500075.1.1 ,"30S ribosomal protein S11, chloroplastic (AHRD V3.3 *** G9FCH9_9LAMI)"
Solyc00g500076.1.1 ,"50S ribosomal protein L14, chloroplastic (AHRD V3.3 *** I6N992_DATST)"
Solyc00g500077.1.1 ,"50S ribosomal protein L16, chloroplastic (AHRD V3.3 *-* A0A2G3BL23_CAPCH)"
Solyc00g500078.1.1 ,"Ribosomal protein L2, plastid (AHRD V3.3 *-* A0A2U1PJW3_ARTAN)"
Solyc00g500079.1.1 ,50S ribosomal protein L2 (AHRD V3.3 *** H6T990_9CARY)
Solyc00g500080.1.1 ,Photosystem I assembly protein Ycf4 (AHRD V3.3 *** K4EQH2_DATST)
Solyc00g500081.1.1 ,Protein Ycf2 (AHRD V3.3 *** A0A1Z1GA65_LITCN)
Solyc00g500082.1.1 ,"30S ribosomal protein S11, chloroplastic (AHRD V3.3 *** G9FCH9_9LAMI)"
Solyc00g500083.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500084.1.1 ,Protein TIC 214 (AHRD V3.3 *** K4EQH9_DATST)
Solyc00g500085.2.1 ,Cytochrome c biogenesis protein CcsA (AHRD V3.11 *** tr|A0A1U8QCK2|A0A1U8QCK2_CAPAN)
Solyc00g160290.1.1 ,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (AHRD V3.11 *** tr|A0A1U8QCJ1|A0A1U8QCJ1_CAPAN)"
Solyc00g500086.1.1 ,Photosystem I assembly protein Ycf3 (AHRD V3.3 *** A0A140F954_9LAMI)
Solyc00g500087.1.1 ,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (AHRD V3.3 *** A0A1U8QCJ3_CAPAN)"
Solyc00g500088.2.1 ,Protein TIC 214 (AHRD V3.11 *** sp|Q2VEC3|TI214_SOLTU)
Solyc00g500089.1.1 ,Unknown protein
Solyc00g160160.1.1 ,MP domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3AY57|A0A1Q3AY57_CEPFO)
Solyc00g160630.1.1 ,MP domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3DHL6|A0A1Q3DHL6_CEPFO)
Solyc00g500091.2.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *** tr|A0A2G3CLG0|A0A2G3CLG0_CAPCH)
Solyc00g160310.1.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *-* tr|A0A2G2WYW6|A0A2G2WYW6_CAPBA)
Solyc00g160300.1.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *-* tr|A0A2G3CLG0|A0A2G3CLG0_CAPCH)
Solyc00g011670.1.1 ,Unknown protein
Solyc00g011660.1.1 ,B3 domain-containing protein (AHRD V3.3 *** A0A1Q3DFU3_CEPFO)
Solyc00g500092.2.1 ,B3 domain-containing protein (AHRD V3.11 *** tr|A0A2K3PAY3|A0A2K3PAY3_TRIPR)
Solyc00g500093.1.1 ,B3 domain-containing protein (AHRD V3.3 *-* A0A1Q3DFU3_CEPFO)
Solyc00g160640.1.1 ,60S ribosomal protein L6 (AHRD V3.11 *-* tr|A0A2G2WV77|A0A2G2WV77_CAPBA)
Solyc00g500095.1.1 ,Phenylalanine ammonia-lyase (AHRD V3.3 *** A0A2G2VZP0_CAPBA)
Solyc00g500096.2.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *** tr|A0A2G2WYW6|A0A2G2WYW6_CAPBA)
Solyc00g011560.1.1 ,E3 ubiquitin-protein ligase (AHRD V3.3 *-* A0A2G3CLG0_CAPCH)
Solyc00g500097.1.1 ,B3 domain-containing protein At1g49475-like (AHRD V3.3 *-* XP_025886111.1)
Solyc00g500098.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *** A0A0C5ARN6_HYONI)
Solyc00g500099.1.1 ,Cytochrome C oxidase subunit II-like%2C transmembrane domain-containing protein ChrM:318588-319463 REVERSE LENGTH=2.1
Solyc00g500101.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *-* A0A0C5B2A3_HYONI)
Solyc00g500102.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *-* A0A0C5B2A3_HYONI)
Solyc00g153980.1.1 ,Unknown protein
Solyc00g309530.1.1 ,Unknown protein
Solyc00g164580.1.1 ,Unknown protein
Solyc00g210860.1.1 ,Unknown protein
Solyc00g025400.2.1 ,Unknown protein
Solyc00g022070.1.1 ,Unknown protein
Solyc00g022080.1.1 ,Unknown protein
Solyc00g022090.1.1 ,Unknown protein
Solyc00g022100.1.1 ,Ribosomal protein L10 (AHRD V3.3 *** E0D3E6_SOLLC)
Solyc00g500103.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *-* A0A0C5ARN6_HYONI)
Solyc00g500104.2.1 ,RNA-dependent RNA polymerase (AHRD V3.11 *-* tr|A0A2Z6JIR4|A0A2Z6JIR4_9VIRU)
Solyc00g500106.1.1 ,"Pyruvate, phosphate dikinase (AHRD V3.3 *-* A0A2U1QB44_ARTAN)"
Solyc00g500107.1.1 ,"Peptidase S10, serine carboxypeptidase, Alpha/Beta hydrolase fold protein (AHRD V3.3 *-* A0A2U1LQP4_ARTAN)"
Solyc00g500108.1.1 ,Unknown protein
Solyc00g281110.1.1 ,Unknown protein
Solyc00g500109.1.1 ,Unknown protein
Solyc00g500110.1.1 ,Unknown protein
Solyc00g500111.1.1 ,NADH dehydrogenase subunit 5 (AHRD V3.3 *-* A0A0C5B7L0_9SOLA)
Solyc00g500112.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *-* A0A0C5ARN6_HYONI)
Solyc00g142160.1.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *-* A0A2Z6JIR4_9VIRU)
Solyc00g142170.2.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *-* A0A2Z6JIR4_9VIRU)
Solyc00g500113.1.1 ,Ribosomal protein S13 (AHRD V3.3 *** K4D8U2_SOLLC)
Solyc00g500114.1.1 ,Transmembrane protein (AHRD V3.3 *** Q3EC50_ARATH)
Solyc00g500116.1.1 ,Cytochrome C oxidase subunit II-like%2C transmembrane domain-containing protein ChrM:318588-319463 REVERSE LENGTH=2.1
Solyc00g500118.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *** A0A2G2X686_CAPBA)
Solyc00g500119.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *-* A0A0C5B2A3_HYONI)
Solyc00g500120.1.1 ,Unknown protein
Solyc00g500121.1.1 ,Unknown protein
Solyc00g015600.1.1 ,Unknown protein
Solyc00g500122.1.1 ,Unknown protein
Solyc00g160650.1.1 ,ACT domain-containing protein ACR5 (AHRD V3.11 *-* tr|A0A2G3AJF7|A0A2G3AJF7_CAPAN)
Solyc00g160660.1.1 ,Zinc finger C-x8-C-x5-C-x3-H type family protein (AHRD V3.11 *** tr|A0A2U1Q6X3|A0A2U1Q6X3_ARTAN)
Solyc00g160320.1.1 ,cysteine-rich receptor-like protein kinase 2 (AHRD V3.11 --* XP_014619111.1)
Solyc00g160010.1.1 ,zinc finger CCCH domain-containing protein 30-like (AHRD V3.11 *-* XP_025884875.1)
Solyc00g160330.1.1 ,zinc finger CCCH domain-containing protein 30-like (AHRD V3.11 *-* XP_025884875.1)
Solyc00g007330.1.1 ,Zinc finger transcription factor 1
Solyc00g007340.1.1 ,Unknown protein
Solyc00g007350.1.1 ,zinc finger CCCH domain-containing protein 30-like (AHRD V3.3 *-* A0A2I4HEV8_9ROSI)
Solyc00g160020.1.1 ,Protein TIC 214 (AHRD V3.11 *-* tr|K4EQH9|K4EQH9_DATST)
Solyc00g160340.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (AHRD V3.11 *** tr|I6N9A4|I6N9A4_DATST)"
Solyc00g160670.1.1 ,Cytochrome c biogenesis protein CcsA (AHRD V3.11 *-* tr|A0A1U8QCK2|A0A1U8QCK2_CAPAN)
Solyc00g160350.1.1 ,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (AHRD V3.11 *** tr|A0A1U8QCJ1|A0A1U8QCJ1_CAPAN)"
Solyc00g500123.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (AHRD V3.3 *** A0A2G2XBN0_CAPBA)"
Solyc00g500124.1.1 ,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (AHRD V3.3 *** A0A1U8QCJ3_CAPAN)"
Solyc00g500125.1.1 ,Protein TIC 214 (AHRD V3.3 *** TI214_SOLTU)
Solyc00g500126.1.1 ,Protein TIC 214 (AHRD V3.3 *-* TI214_SOLTU)
Solyc00g500127.1.1 ,"50S ribosomal protein L14, chloroplastic (AHRD V3.3 *** I6N992_DATST)"
Solyc00g500128.1.1 ,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)"
Solyc00g500129.1.1 ,"Ribosomal protein L2, plastid (AHRD V3.3 *-* A0A2U1PJW3_ARTAN)"
Solyc00g500130.1.1 ,Photosystem II protein .1
Solyc00g500131.1.1 ,Maturase K (AHRD V3.3 *** A0A2G3DGH8_CAPCH)
Solyc00g500132.1.1 ,Photosystem II reaction center protein K (AHRD V3.3 *** A0A1U8QD48_CAPAN)
Solyc00g500133.1.1 ,"ATP synthase subunit alpha, chloroplastic (AHRD V3.3 *** I6N942_DATST)"
Solyc00g500134.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500135.1.1 ,DNA-directed RNA polymerase subunit beta'' (AHRD V3.3 *-* A0A1U8QCC7_CAPAN)
Solyc00g160170.1.1 ,DNA-directed RNA polymerase subunit beta (AHRD V3.11 *-* tr|I6N949|I6N949_DATST)
Solyc00g500136.1.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA)
Solyc00g500137.1.1 ,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)"
Solyc00g500138.1.1 ,"50S ribosomal protein L14, chloroplastic (AHRD V3.3 *** I6N992_DATST)"
Solyc00g500139.1.1 ,Photosystem I P700 chlorophyll a apoprotein .1
Solyc00g500140.1.1 ,"ATP synthase epsilon chain, chloroplastic (AHRD V3.3 *** A0A1U8QCD5_CAPAN)"
Solyc00g500141.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A1W5PW46_9DIPS)
Solyc00g500142.1.1 ,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (AHRD V3.3 *** A0A1U8QD64_CAPAN)"
Solyc00g500144.1.1 ,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)"
Solyc00g500145.1.1 ,Maturase K (AHRD V3.3 *** A0A2G3DGH8_CAPCH)
Solyc00g500147.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A0U1ZJJ5_9SOLN)
Solyc00g500148.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A1W5PW46_9DIPS)
Solyc00g500149.1.1 ,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (AHRD V3.3 *** A0A1U8QD64_CAPAN)"
Solyc00g500150.1.1 ,"50S ribosomal protein L2, chloroplastic (AHRD V3.3 *** I6N9C2_DATST)"
Solyc00g500151.1.1 ,Photosystem II protein .1
Solyc00g500152.1.1 ,50S ribosomal protein L2 (AHRD V3.3 *** H6T990_9CARY)
Solyc00g500153.1.1 ,"30S ribosomal protein S3, chloroplastic (AHRD V3.3 *** A0A1U8QD95_CAPAN)"
Solyc00g500154.1.1 ,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (AHRD V3.3 *** A0A1U8QD64_CAPAN)"
Solyc00g500155.1.1 ,"50S ribosomal protein L14, chloroplastic (AHRD V3.3 *** I6N992_DATST)"
Solyc00g500156.1.1 ,"30S ribosomal protein S11, chloroplastic (AHRD V3.3 *** G9FCH9_9LAMI)"
Solyc00g500157.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A1W5PW46_9DIPS)
Solyc00g500158.1.1 ,Cytochrome b6-f complex subunit 4 (AHRD V3.3 *** A0A2G2XBM1_CAPBA)
Solyc00g500159.1.1 ,Unknown protein
Solyc00g500161.1.1 ,Unknown protein
Solyc00g500162.1.1 ,Unknown protein
Solyc00g500163.1.1 ,Unknown protein
Solyc00g160360.1.1 ,Gag-asp_proteas domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3CEG3|A0A1Q3CEG3_CEPFO)
Solyc00g500164.1.1 ,Unknown protein
Solyc00g500165.1.1 ,Unknown protein
Solyc00g112190.2.1 ,Unknown protein
Solyc00g160030.1.1 ,Cytochrome c biogenesis FC (AHRD V3.11 *-* tr|A0A0C5APX0|A0A0C5APX0_HYONI)
Solyc00g500166.1.1 ,Unknown protein
Solyc00g500167.1.1 ,Cytochrome c biogenesis FC (AHRD V3.3 *-* A0A0C5APX0_HYONI)
Solyc00g230080.1.1 ,Photosystem II protein D2 (AHRD V3.3 *** A0A0K0N7Y1_9LILI)
Solyc00g316530.1.1 ,"ATP synthase subunit beta, mitochondrial (AHRD V3.3 *-* A0A2G2V6Z5_CAPBA)"
Solyc00g069880.2.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *-* A0A2G2YCL7_CAPAN)
Solyc00g500168.1.1 ,Transport membrane protein (AHRD V3.3 *** A0A0C5ARU2_HYONI)
Solyc00g013100.1.1 ,Unknown protein
Solyc00g013110.1.1 ,Unknown protein
Solyc00g126010.1.1 ,LOW protein: NADH-ubiquinone oxidoreductase chain-like protein ChrM:329082-329465 REVERSE LENGTH=127 201606 (AHRD V3.3 *-* ATMG01330.1)
Solyc00g126000.1.1 ,orf300 gene product (mitochondrion) (AHRD V3.3 *-* NP_064003.1)
Solyc00g125990.1.1 ,NADH dehydrogenase subunit 2 (AHRD V3.3 *** A0A0C5B2A9_HYONI)
Solyc00g125980.1.1 ,NADH dehydrogenase subunit (AHRD V3.3 -** A0A2K3PKA7_TRIPR)
Solyc00g244300.1.1 ,Unknown protein
Solyc00g244290.1.1 ,NADH dehydrogenase subunit 2 (AHRD V3.3 *-* A0A0C5B2A9_HYONI)
Solyc00g244280.1.1 ,senescence-associated carboxylesterase 101-like isoform X3 (AHRD V3.3 *-* XP_024928153.1)
Solyc00g160370.1.1 ,Telomere repeat-binding factor 1-like protein (AHRD V3.11 *-* tr|A0A2K3NRX7|A0A2K3NRX7_TRIPR)
Solyc00g500169.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *** A0A0C5ARN6_HYONI)
Solyc00g500170.1.1 ,Cytochrome C oxidase subunit II-like%2C transmembrane domain-containing protein ChrM:318588-319463 REVERSE LENGTH=2.1
Solyc00g160380.1.1 ,BnaUnng02370D protein (AHRD V3.11 *-* tr|A0A078JML4|A0A078JML4_BRANA)
Solyc00g013170.1.1 ,orf1.1
Solyc00g013180.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *-* A0A290WL40_SOLLC)
Solyc00g160180.1.1 ,BnaC06g00330D protein (AHRD V3.11 *** tr|A0A078FRJ5|A0A078FRJ5_BRANA)
Solyc00g500171.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *** A0A2G3CZD8_CAPCH)
Solyc00g500172.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *** A0A2G2X0J9_CAPBA)
Solyc00g320430.1.1 ,Unknown protein
Solyc00g500173.1.1 ,ATPase subunit 4 (AHRD V3.3 *** A0A0C5B288_HYONI)
Solyc00g019730.2.1 ,Cytochrome c oxidase subunit 3 (AHRD V3.11 *** tr|A0A0C5BKQ0|A0A0C5BKQ0_9SOLA)
Solyc00g500174.1.1 ,Unknown protein
Solyc00g500176.1.1 ,Unknown protein
Solyc00g500177.1.1 ,Unknown protein
Solyc00g500178.1.1 ,Unknown protein
Solyc00g500179.1.1 ,Unknown protein
Solyc00g500180.1.1 ,Unknown protein
Solyc00g500181.1.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *** A0A2Z6JIR4_9VIRU)
Solyc00g160410.1.1 ,NADH-ubiquinone oxidoreductase chain 1 (AHRD V3.11 *-* tr|A0A2U1NB45|A0A2U1NB45_ARTAN)
Solyc00g118690.1.1 ,NADH-ubiquinone oxidoreductase chain.1
Solyc00g160400.1.1 ,NADH dehydrogenase subunit F (AHRD V3.11 *-* tr|A0A2K3KTY1|A0A2K3KTY1_TRIPR)
Solyc00g023590.2.1 ,Cytochrome f (AHRD V3.3 *-* A0A2G3AYY8_CAPCH)
Solyc00g023580.1.1 ,Unknown protein
Solyc00g023570.1.1 ,Unknown protein
Solyc00g014860.1.1 ,Unknown protein
Solyc00g014850.1.1 ,orf86 (mitochondrion) (AHRD V3.3 *** YP_002608396.1)
Solyc00g500183.1.1 ,NADH dehydrogenase subunit 7 (AHRD V3.3 *-* A0A220T1K3_9ROSI)
Solyc00g500184.1.1 ,NADH dehydrogenase subunit 7 (AHRD V3.3 *** A0A0C5B9X5_9SOLA)
Solyc00g500185.1.1 ,NADH dehydrogenase subunit 7 (AHRD V3.3 *-* G9FCP1_9LAMI)
Solyc00g014810.1.1 ,Unknown protein
Solyc00g014800.1.1 ,Zinc finger protein KNUCKLES (AHRD V3.3 *** A0A2G3ACW4_CAPAN)
Solyc00g014790.2.1 ,Unknown protein
Solyc00g094550.1.1 ,hypothetical protein Chr2:3301041-3301624 FORWARD LENGTH=99 201606 (AHRD V3.3 *-* AT2G07628.1)
Solyc00g094540.1.1 ,Unknown protein
Solyc00g094530.1.1 ,NADH-ubiquinone oxidoreductase chain.1
Solyc00g094520.1.1 ,orf100 (mitochondrion) (AHRD V3.3 *** YP_005090391.1)
Solyc00g023700.2.1 ,Unknown protein
Solyc00g023710.1.1 ,Unknown protein
Solyc00g049210.1.1 ,Cytochrome c biogenesis FN (AHRD V3.3 *** A0A0C5B9X0_9SOLA)
Solyc00g049220.1.1 ,(R)-mandelonitrile lyase-like (AHRD V3.3 *-* A0A2G2VFL1_CAPBA)
Solyc00g500186.1.1 ,Cytochrome c oxidase subunit.1
Solyc00g500187.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *-* A0A290WL40_SOLLC)
Solyc00g500188.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *** A0A2G3CZD8_CAPCH)
Solyc00g500189.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *** A0A2G2X0J9_CAPBA)
Solyc00g160390.1.1 ,hypothetical protein Chr2:3380744-3380944 FORWARD LENGTH=66 201606 (AHRD V3.11 *-* AT2G07705.1)
Solyc00g021660.1.1 ,Neutral/alkaline invertase (AHRD V3.3 *-* V5N411_MANES)
Solyc00g500190.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500191.2.1 ,Protein TIC 214 (AHRD V3.11 *** sp|Q2VEC3|TI214_SOLTU)
Solyc00g500192.1.1 ,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (AHRD V3.3 *** A0A1U8QCJ3_CAPAN)"
Solyc00g500193.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (AHRD V3.3 *** A0A2G2XBN0_CAPBA)"
Solyc00g160420.1.1 ,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (AHRD V3.11 *** tr|I6N9A7|I6N9A7_DATST)"
Solyc00g500194.1.1 ,Cytochrome c biogenesis protein CcsA (AHRD V3.3 *-* A0A1U8QCK2_CAPAN)
