Affy_identifier,T0 no addition,30min no addition,3hrs no addition,30 min 3mM KCl,3 hrs 3mM KCl,30 min 3mM KNO3 (A),30min 3mM KNO3 (B),3hrs 3mM KNO3 (A),3hrs 3mM KNO3 (B),Full nutrition (A),Full nutrition (B),Full nutrition (C ),Gene product
244934_at,54.5,54.7,32.9,26.3,29.8,56,25.3,49.1,13.9,181.7,20.2,32.1,NADH dehydrogenase ND6
244935_at,785.8,885.8,1077.5,1287,853.2,975.1,504.2,790.7,494.7,2423.3,1914.1,2516.9,NADH dehydrogenase subunit
244936_at,298.5,318.4,331.3,353.9,299.6,339,123.2,305.1,137.2,851.4,939.3,991.3,NADH dehydrogenase ND1
244937_at,26.5,27.5,27.4,35.5,26.5,37.3,8.1,27.1,13.6,137,49.2,51.2,NADH dehydrogenase 49KDa protein
244938_at,50.1,62,68.8,48.3,35.8,42.5,18.1,51.9,25.2,262.9,152.7,196.6,ribosomal protein S15
244939_at,97.9,84,63.6,70.9,46.6,47.9,62.3,38,59,260.8,250.4,321.9,ribosomal protein S12 (trans-splice part 1 of 2)
244940_at,666.8,1003.4,903.3,869.4,684.3,653,522.8,593.2,578.6,1831,1770.7,1783.8,ribosomal protein S12 (trans-splice part 2 of 2)
244941_at,21.9,13.6,20.4,24.9,21.4,21.5,25.5,18.3,24.7,27.7,24.6,14.8,hypothetical protein
244942_at,11,7,1.6,5.6,4.2,5.5,3.1,3.3,6,1.2,1.7,1.3,hypothetical protein
244943_at,68.3,73.3,94.5,72.3,66,84.1,37.2,61.5,26.4,87.8,53.2,59.6,NADH dehydrogenase subunit 9
244944_s_at,116.1,146.7,200.6,184.7,166.8,172.4,55,165.4,91.5,242.6,197,238.1,ribosomal protein L16
244945_at,42.9,72.7,85.2,84.6,100.6,82.8,32.7,90.5,34.5,44.5,48.1,31.3,cytochrome c biogenesis orf206
244946_at,21.9,18.3,20.1,28.2,21.3,23.7,12.3,23,15.6,18.5,15.7,12.6,hypothetical protein
244947_at,10.3,10.7,10.6,16.6,11.8,15.5,15.7,12.3,8.2,13,8.2,6.7,hypothetical protein
244948_at,1.5,3.5,7.8,4.5,1.6,2.8,5.3,3.8,4.4,5.8,0.5,1.1,hypothetical protein
244949_at,14.9,9.6,16.6,17.8,19.7,16.4,18.7,20.2,11.4,21.3,15,2.3,hypothetical protein
244950_at,43.3,112,129.7,164.3,144.9,91.5,26.6,191.1,48.4,35.9,42.5,15.1,cytochrome c oxidase subunit 2
244951_s_at,264.4,366,464,363,324.7,400.9,142.1,327,196.3,304.8,168.6,233.4,cytochrome c biogenesis orf452
244952_at,14.9,12.9,10.1,9.3,10.5,14.5,9.3,13.8,9.2,10.8,5.1,5.7,hypothetical protein
244953_s_at,18.9,25.4,25.7,33.9,34.7,35.5,13.9,50.2,20.1,25.1,18.6,14.4,NADH dehydrogenase subunit 6
244954_s_at,6.1,19.7,16.5,11,9.7,19.3,10.4,9.4,8.4,13.2,3,3.3,hypothetical protein
244955_at,1.9,4.6,3.1,6,5.5,8.7,2.3,10.2,5.8,8.7,3.4,0.6,hypothetical protein
244956_s_at,14.6,12.5,18.3,22.1,15.2,21.2,13.1,19.2,14.2,16.6,17.4,8.4,hypothetical protein
244957_at,17.5,11.4,12.6,14.3,14.3,18.8,12.3,15.7,5.8,15.7,11.9,9,hypothetical protein
244958_at,17.6,13.7,15.9,20.6,14.7,17.2,12.1,17.8,14.8,9.5,8.2,6.5,hypothetical protein
244959_s_at,194.6,207.4,335.2,71.3,53.5,56.3,19.1,43.8,32.8,224.2,79.9,162.5,hypothetical protein
244960_at,570.1,526.9,468.2,728.3,641.9,650.2,512.6,758,395.5,853.6,1115.7,1226,ribosomal protein L32
244961_at,166.7,154.3,203.9,277.2,208.1,242.4,203.5,254.8,198.4,633.7,919.1,1242.7,hypothetical protein
244962_at,273.3,448.8,463.5,648.7,377.1,497.8,193,453.5,236.4,1431.7,862.5,981.1,NADH dehydrogenase ND4
244963_at,488.1,688.2,535,668.1,636.6,599.7,408.2,662.8,465.9,1597.2,1061.9,1163,PSII cytochrome b559
244964_at,215.8,336,247.8,323.8,311.7,285.7,178.8,357,262.8,835.9,515.7,661.4,PSII cytochrome b559
244965_at,228.6,204.3,287.6,175.3,129.9,117.6,57.4,143.4,62.3,818.7,440.4,742.7,hypothetical protein
244966_at,28.8,26.4,31.3,30.9,26,45.7,19.4,46.7,16.7,132.2,29.3,30," cytochrome b6-f complex, subunit V   "
244967_at,1006.6,554.9,670.3,731.5,544.3,568.9,558.7,714.5,578,1469.2,1787.2,2039.9,PSI J protein
244968_at,77.9,135.7,168.4,176.2,145.4,61.6,74,199.1,113.3,1085,704.2,1007.6,ribosomal protein L33
244969_at,36.4,50.2,65.4,90,63,60.1,34.1,114.7,43.6,321.3,321.1,346.1,ribosomal protein S18
244970_at,62.2,83.2,99.7,124.7,83.6,106.5,35.9,109,42.7,262.3,153.3,172.8,ribosomal protein L20
244971_at,395,668,650,1115.8,639.4,970.7,325.3,561.4,401.7,1555,1695.8,1680.6,ATP-dependent protease subunit
244972_at,80.1,72.8,60.1,63.3,73.9,90.6,64.6,101.9,38.4,392.8,118.8,106.2,PSII 47KDa protein
244973_at,53.6,72,57.6,69.2,55.8,85.5,31,95.1,28.2,220.8,116.6,126.9,PSII T protein
244974_at,36.1,91.2,68,88.7,41.8,52.2,8.5,29.9,20.1,121.4,104.7,104.9,PSII low MW protein
244975_at,270,259,314.5,387.1,336.1,293.1,216.4,410,282.1,942.2,801.2,883.8,PSII 10KDa phosphoprotein
244976_at,1082,1088.5,1330.6,1693.1,1403.7,1114.2,1099.1,1417.9,1320.4,2287.5,2762.2,2391.1,cytochrome B6
244977_at,33.1,27,22.8,22.2,18.3,29.1,18.1,17.7,10.9,53.2,13.6,14.8,cytochrome b/f
244978_at,241.9,534.4,609.5,619,611.1,563.2,340.7,820.9,496.3,1075.7,1943.1,1609.9,RNA polymerase alpha subunit
244979_at,461.3,809.9,597.8,755,571,642.2,353.9,812.8,452,1977.6,1790.1,1692,ribosomal protein S11
244980_at,350.8,613.1,461.6,581.2,408.5,512.9,202.4,595.5,312,1942.5,1438.4,1284.4,ribosomal protein L36
244981_at,236.8,422.1,314.2,456.4,308.5,452.1,88.2,572.4,202,1165.2,796.1,771.8,ribosomal protein S8
244982_at,159.5,344.3,231.1,254.8,187.5,214,49.2,257,105.8,1004,581.4,619.8,ribosomal protein L14
244983_at,537.8,670.6,802.5,396.4,260.2,346.7,52.7,369.2,153.5,2496.7,1130.8,1978.2,ribosomal protein L16
244984_at,586.1,688.9,668.1,838.7,710.4,703.2,456.9,882.3,463.9,1400.9,1557,1725.9,ribosomal protein S3
244985_at,290.8,548.5,466.6,511.9,409.4,411.3,233.2,563.8,342.7,1459.3,1255.6,1467.5,ribosomal protein L22
244986_at,429,577.9,694.9,665.1,591.4,567.4,318,654.1,365.4,1636.7,1639.4,1907,ribosomal protein S19
244987_s_at,1117.8,1633.5,1587,1769.5,1540.1,1405.6,910,1461.2,1108.5,3295.4,2882.8,2988.3,ribosomal protein L2
244988_s_at,229.4,342.5,349.6,406.1,275.9,339.8,174.8,346.1,207.6,1447.3,1883.1,1576.7,ribosomal protein L23
244989_s_at,15.6,16.6,16.7,13.9,12.4,17.1,11.8,12.7,9.9,41.5,13.3,10.3,hypothetical protein
244990_s_at,12.4,15.9,13.9,4.4,9.1,9.9,8.7,17.2,5.2,45.3,10.8,8.5,hypothetical protein
244991_s_at,27.8,18.4,30.9,22.7,23.6,39.1,29.4,29,18.3,29.3,40.4,24.5,NADH dehydrogenase ND2
244992_s_at,1302.2,1552.4,1696.6,1790.4,1303.1,1408.2,1097.8,1262.7,1199.4,3344.2,3166.5,3295.9,ribosomal protein S7
244993_s_at,264.1,363.2,418.9,542.5,333.8,385.2,238.1,397,233.2,871.2,596.5,995.6,hypothetical protein
244994_at,15.8,8.3,7.1,8.5,6.7,24.8,7.2,18.5,1.3,22.2,12.6,8.9,NADH dehydrogenase ND5
244995_at,43.6,34.6,32.2,17.3,19.3,31.9,16.9,19.6,10.4,187.7,30.4,50.1,ATPase a subunit
244996_at,125.3,184.2,240.9,249.8,207.5,231.2,77,189.1,90.7,882.6,531.2,857.2,ribosomal protein S2
244997_at,59.3,93,117.4,91.3,79.7,88.5,22.9,72.2,37.7,479.1,529.3,734.6,RNA polymerase beta  subunit-2
244998_at,90.3,249.1,249.9,256.3,162,164.1,29.2,106.3,71.7,765.4,476.6,486.9,RNA polymerase beta  subunit-1
244999_at,26.1,47.5,48,19.2,20.9,20.2,16.4,21.4,7.7,242.8,15.5,25,RNA polymerase beta subunit
245000_at,58.3,47.8,39.9,35.6,46.7,90.9,51.5,82.3,18.9,143.3,28.5,23.9,hypothetical protein
245001_at,2105.9,2072.6,2228.4,2039.9,2385.7,2281.2,2437.9,1894.8,2412.5,3078,3384.3,3028.6,PSII low MW protein
245002_at,132.8,257.8,187.9,86.9,77.9,109.8,22.5,155.1,36.4,819.4,113.1,263.8,PSII D2 protein
245003_at,278.7,596.2,429.9,207,145.5,187.9,51.8,291.4,82.4,1364.7,572.6,1268.1,PSII 43 KDa protein
245004_at,504.2,766.4,825.8,565.7,438.3,495.5,239,689.4,371.4,1339.2,1468.3,1692.1,hypothetical protein
245005_at,34.3,15.3,16.8,15.8,16.1,13.4,11.7,19.3,16.6,47.7,22.4,13,ribosomal protein S14
245006_at,2104.5,2230.5,2466.1,2622.4,2538.7,2315.7,2295.8,1868.2,2192.9,2982.5,3185.5,3062.7,PSI P700 apoprotein A2
245007_at,1034.2,1412.1,1345.2,1693.9,1465.3,1288.3,232.6,1156.6,988.5,2258.7,2025.7,2125.6,PSI P700 apoprotein A1
245008_at,93.3,183.6,150.3,184.5,152,192.7,34.2,192.8,52.3,836.9,379.7,570.8,hypothetical protein
245009_at,224.8,291.3,451.5,763.9,425.1,387.5,215.4,378.4,308.6,1434.7,1907.7,2193,ribosomal protein S4
245010_at,53.7,46.8,62.5,49.8,35.9,44.3,27.2,42.5,36.2,279.2,220.3,300.3,NADH dehydrogenase subunit
245011_at,46.5,42.1,60.6,44,30.6,44.5,27.3,33.6,27,154.8,102.2,119.8,photosystem II G protein
245012_at,751.6,692.7,742.6,826.4,773.7,878.9,710.9,1037.7,792.1,1329.3,1611.3,1574.6,NADH dehydrogenase D3
245013_at,905.8,1084.2,1343.7,1924.6,1584.4,1405,1211.1,1483.1,1404.3,2879.5,3209.9,3421.4,ATPase epsilon subunit
245014_at,1337.8,1698.4,1842.2,2166.2,2009.8,1731.6,1913.7,1718,1932.5,3619.3,3582.3,3580.1,ATPase beta subunit
245015_at,143.6,112.9,165.7,145.1,131.7,111.2,94.5,84.8,185.7,345.2,112.9,248.6," large subunit of riblose-1,5-bisphosphate carboxylase/oxygenase   "
245016_at,288.7,206.1,213.4,235.1,146.8,202.3,72.8,130.8,157,574.7,121.3,175.5,carboxytransferase beta subunit
245017_at,369.8,315.6,457.9,467.8,300.5,445.2,155.7,323.6,267.9,985.8,491.7,761.5,PSI I protein
245018_at,424.9,404.6,462.4,324.3,231.2,227.9,101.6,166.6,146.3,1197.8,740.2,1000,hypothetical protein
245019_at,639.8,555.4,836.1,510.8,345.7,261,191.4,216.6,267.6,1514.4,1066,1655.5,hypothetical protein
245020_at,352.4,302.5,458.3,424.6,321.9,273,257.5,263.8,295.8,1031.7,1157.8,1687.4,cytochrome f
245021_at,382.6,468.3,503.7,533.8,513.2,505.2,302.4,542.7,375.3,1031.9,900.4,999.9,PSII component
245022_at,166.5,168.2,160,220.2,211.2,219.2,119.8,228.4,121.7,336.1,350.6,370.7,PSII L protein
245023_at,322.7,423.1,583.8,622.2,536.4,559.8,301.3,571.8,210.9,1027.5,1137.2,883.2,PSII I protein
245024_at,261.2,351.9,520.4,436.3,245.3,252.7,89.8,133.9,90.8,1128.1,1061.2,1432,ATPase alpha subunit
245025_at,124.9,214,205.2,135.2,101.4,105,30,83.1,35,758.5,334.2,482.6,ATPase I subunit
245026_at,226.1,364.8,312.1,195.9,111.9,143.6,40.2,86.8,52.2,1181.2,324.9,532,ATPase III subunit
245027_at,31.2,26.1,21.7,29.8,27.1,25.7,25.9,33.6,28.7,37.6,67.1,71,heme oxygenase 2 (HO2)
245028_at,83.1,82.2,89.4,68.8,86.8,73.4,78.9,52.1,47.7,51.2,67.3,77.3,unknown protein
245029_at,19,17.4,11.8,25.5,15,35,29.9,12.5,24.6,22.6,35,50.5,hypothetical protein predicted by genscan
245030_at,2.6,1,0.7,1.9,3.3,2.4,0.2,4,0.3,0.3,0.2,0.1,putative polygalacturonase
245031_at,43.5,23.9,30.8,40.5,26.4,45.1,43.3,35.6,41.9,23.9,25.8,22.3,putative mitochondrial carrier protein
245032_at,8.9,7.8,8.7,8.5,3.8,8.4,7.5,8.6,8.6,9.9,9.9,9.1,En/Spm-like transposon protein related to En/Spm transposon family of maize
245033_at,21,16.1,15.7,42.1,14.2,30.3,18.9,19.8,13.1,15.1,3.1,5.1,putative disease resistance protein
245034_at,32.7,24.4,30.2,47.9,22.5,53.6,40.9,22.3,26,18.5,17.5,17.4,putative serpin
245035_at,387.2,139.6,52.7,31.6,40.2,83.7,307.8,35.8,70.3,25.6,25.7,12.1,unknown protein similar to GP|2244827|gnl|PID|e326818|Z97336
245036_at,10.4,4.1,6.6,3.5,10,7.4,10.1,9,11.6,4.3,8.8,7.3,putative SF16 protein {Helianthus annuus}
245037_at,24.3,18.8,19.3,20.3,23.5,12.5,18.4,15.1,15.9,13.2,14.8,14.5,putative phosphatidylinositol-4-phosphate 5-kinase
245038_at,402.6,202.6,153.3,153.8,133.4,84,219.3,198.7,99.3,171.2,60.7,9.7,similar to latex allergen from Hevea brasiliensis  ;supported by full-length cDNA: Ceres:1999.
245039_at,232.3,188.4,198.1,199.1,192.3,210.3,195.2,195.4,161.4,104.1,127,96.1," putative beta-1,3-glucanase  ;supported by full-length cDNA: Ceres:95083. "
245040_at,2.3,10,1.4,15.1,1,1.5,2.4,3.6,15.2,13.7,2.2,2.1,hypothetical protein predicted by genefinder;supported by full-length cDNA: Ceres:628.
245041_at,72.4,99.2,76.6,132.9,79.3,69.8,48.7,51,22.4,91.3,132.8,46.6," AR781, similar to yeast pheromone receptor identical to GB:D88743, corrected a frameshift found in the original record (at 69530 bp), sequence submitted has been verified from 10 sequence electropherograms. The translation now starts from an upstream ATG.;supported by full-length cDNA: Ceres:33680 "
245042_at,36,40.8,35.1,50.7,37.2,33.2,42.8,33.4,31,92.7,109,109,hypothetical protein predicted by genefinder;supported by full-length cDNA: Ceres:33364.
245043_at,101.7,120.1,99,99.3,111,110.5,115.3,91.7,89.5,94.7,110,142.9,putative cyclin  ;supported by full-length cDNA: Ceres:22595.
245044_at,486.6,677.7,632.8,670.3,631,604.8,562.6,641.7,591.4,1920.5,2044.2,2248.8,unknown protein Alternative splice forms exist.;supported by full-length cDNA: Ceres:9368.
245045_at,218.8,265,271.5,276.3,255.2,258.4,269.2,270.3,247,231.2,236.7,230.6,unknown protein similar to glycoprotein SP|Q16186|G100_HUMAN; supported by cDNA: gi_13926226_gb_AF372873.1_AF372873
245046_at,437.3,405.1,422.6,362,403.6,288.2,365.9,298.4,345.6,247,282.8,304.8,putative membrane transporter  ; supported by cDNA: gi_13877634_gb_AF370518.1_AF370518
245047_at,91.1,162.6,138.4,145.1,135.2,100.8,64.7,130.9,87.6,351,222.9,322.9,PSII 32 KDa protein
245048_at,169.6,179.2,181.2,479.1,357.6,329.1,140.1,634,352.2,1053.7,1084.6,1339.9,orf within trnK intron orf within trnK intron
245049_at,55.6,48.7,49.4,63.2,51,63.4,34.4,77.8,43.4,161,165.7,178.9,ribosomal protein S16
245050_at,387.3,661.5,741,886.3,648,600.7,346.1,615.6,268,1832.6,1346.4,854.6,PSII K protein
245051_at,192.8,244.7,253.8,280.3,256,247.4,220.8,262,197.5,129.1,147.7,121.8,putative WRKY-type DNA-binding protein  ; supported by cDNA: gi_13506742_gb_AF224704.1_AF224704
245052_at,253.7,272.3,331.4,245,286.9,163.6,121.7,242.8,168,387.4,241.5,147.3,putative pectinesterase
245053_at,15,11.1,8.1,8.5,12.8,11.3,14.3,9.1,12,8.4,5.1,7.7,putative pectinesterase
245054_at,53.1,66.2,60.6,53.9,57.4,57,56.2,56.9,58.4,40.9,36.5,37.8,unknown protein
245055_at,32.3,30.8,36.1,31.7,34,29.8,29.5,41,28.8,24.2,32.3,25.5,hypothetical protein predicted by genscan; similar to SP|Q04471|YM04_YEAST
245056_at,82.9,91.6,78.1,70.3,73.9,62.5,69.6,40.5,40.4,26.3,36.6,30.3,putative glucosyltransferase
245057_at,13.8,0.7,0.9,9.7,4,8.1,12.6,7,2.2,1.9,1.6,3,En/Spm-like transposon protein related to En/Spm transposon family of maize
245058_at,1.5,0.6,0.6,1.2,0.9,1.3,0.5,1,1.3,4.4,0.7,0.9,hypothetical protein predicted by genefinder
245059_at,134.8,129.4,119.9,127.2,135.9,131.7,155.1,116.8,135.2,91.3,100.9,117.7,unknown protein  ;supported by full-length cDNA: Ceres:253849.
245060_at,619.6,594,545.4,531.3,563,542.2,771.6,438.7,549,484.4,207.2,260.9," GDP-mannose  pyrophosphorylase updated per Conklin PL et al, PNAS 1999, 96(7):4198-203;supported by full-length cDNA: Ceres:37775. "
245061_at,405.6,631.4,548.1,696.8,673.3,572.6,695.9,765.2,655.5,2541.8,1637.1,1996.2,hypothetical protein ;supported by full-length cDNA: Ceres:7114.
245062_at,172.3,194,183.3,168.7,188.2,196.4,194.1,210.3,189.4,189.4,148.9,148.4,hypothetical protein predicted by genscan; similar to SP|P34568|YNV5_CAEEL;supported by full-length cDNA: Ceres:8256.
245063_at,90.8,113.7,126.7,96.9,116.1,107.7,102.3,151.8,171.7,91.2,82.9,100.7,Expressed protein ; supported by full-length cDNA: Ceres: 39203.
245064_at,53.3,50.6,61.9,42.5,57.7,46.7,53.6,52.6,51.1,33.4,33,30,Expressed protein ; supported by full-length cDNA: Ceres: 5605.
245065_at,178,174.2,177,163.2,190.8,171.6,167.9,153.6,136.2,151.4,124.1,129.4,unknown protein  ; supported by cDNA: gi_15450748_gb_AY053416.1_
245066_at,141.4,129.5,150.1,129.9,145.5,146,150.4,130,149.2,114,84.1,86,putative serine/threonine protein phosphatase PP1 isozyme 4 (TOPP4) identical to GB:P48484; contains a Ser/Thr protein phosphatase  signature (PDOC00115); contains a metallo-phosphoesterase motif (QDOC50185); supported by cDNA: gi_166800_gb_M93411.1_ATHPPHAC
245067_at,391.8,357,365.8,427.9,386.3,400.8,426.9,370.5,319.2,338.6,406,359.4," S-like ribonuclease RNS2 identical to ribonuclease 2 precursor SP:P42814, GI:289210; contains a ribonuclease T2 family histidine active site signature (PDOC00459); supported by cDNA: gi_289209_gb_M98336.1_ATHRNS2X "
245068_at,11.5,6.6,12.4,6.8,8.7,6,1.1,6.6,6.5,3.4,1.3,0.9,putative glucosyltransferase
245069_at,5.6,5.5,3.3,1.5,2.9,3.3,5.8,7.5,9.1,4.7,0.8,0.8,putative glucosyltransferase
245070_at,6.5,1.6,5.1,5.5,4.7,4,3.2,4.1,2.5,1.1,1.6,1.1,metallothionein-like protein identical to an EST: GB:X92116:ATECPRHOM; contains a vertebrate metallothionein signature (PS00203)
245071_at,11.3,6,7.5,7.1,5.5,7,4.8,5.8,5,6.6,4.9,4.1,putative vetispiradiene synthase
245072_s_at,2.6,4.7,3,6.9,2.1,5.2,0.4,5.2,6.9,0.3,1.3,2.9,putative cytochrome P450
245073_at,7.6,0.9,0.7,3.7,0.9,2.2,1.8,1.1,1.5,0.9,0.6,0.5,putative glucosyltransferase
245074_at,54.9,56,51.7,73.8,51.8,59,50.4,43.2,49.5,39.6,63.9,39.9,putative protein kinase contains a protein kinase domain profile (PDOC00100)
245075_at,27.4,18.7,24.9,16.8,20.3,17,18.4,16.6,15.7,14.5,27.5,24.6,putative cytochrome P450
245076_at,38.9,68.5,77.4,77.2,104.8,30.5,8.3,35.9,12.8,63.1,47.5,39.5,unknown protein
245077_at,13.3,7.9,11.5,12.5,9.6,13.5,10,8.3,10.9,9.8,11.7,6.8,hypothetical protein predicted by genscan
245078_at,115.7,115.5,137.1,77.2,109.8,42.8,55.4,106.8,99.3,84,117.2,119.4,putative AP2 domain transcription factor
245079_at,32.2,44.5,45.6,49.1,50.4,49.9,26.4,34.6,19.4,58.5,39.2,43.1,putative retroelement pol polyprotein
245080_at,86.9,64.3,83.2,72.5,86,38.9,40.8,37.9,50.3,31.5,31.8,34.8,putative receptor-like protein kinase
245081_at,17.8,8.4,13.3,16.5,11.6,10,13.8,11.8,10.2,13.6,16.3,18.3," unknown protein overlap with T20D16.8, in 3  region "
245082_at,36.8,17.6,26.5,14.5,17.8,9.5,9.2,42,16.3,1.6,12,6,hypothetical protein predicted by genefinder; similar to GP|2464853|gnl|PID|e353149|Z99707;supported by full-length cDNA: Ceres:40943.
245083_at,148.6,141.1,141.5,150,143.5,142.6,155.4,140.8,136.2,172.1,200.6,212.3,putative integral membrane protein  ;supported by full-length cDNA: Ceres:25204.
245084_at,63.7,62.5,65.2,65.3,55.7,43.3,32.3,44.1,52.5,49.1,84.9,67.4,putative MYB family transcription factor  ;supported by full-length cDNA: Ceres:40307.
245085_at,351.5,349.3,315.1,325.3,394.4,375.8,315,686.8,822.2,816.8,432.6,545,putative poly(A) binding protein  ; supported by cDNA: gi_15292850_gb_AY050859.1_
245086_at,7.3,14.6,10.9,13.1,8.4,6,7,9.3,7.6,12.2,2,2.1,putative translation initiation factor
245087_at,51.6,57.6,62.8,66.5,62.9,64.5,55,46.6,43.9,45.8,22.1,34,hypothetical protein predicted by genscan
245088_at,11,5.4,8.1,1.5,10,3.4,12.7,0.9,4.7,1.1,2.6,19.3,subtilisin-like serine protease contains similarity to subtilisin-like protease C1 GI:13325079 from [Glycine max]
245089_at,208.3,246.5,261.3,256.1,242.4,209.2,213.3,183.8,189.9,158.5,105,116.6,putative transketolase precursor  ; supported by cDNA: gi_15982841_gb_AY057528.1_
245090_at,132.9,68.7,80.3,67.1,70.6,51,76.1,141.5,145.1,74.1,68.6,79.3,putative integral membrane protein nodulin
245091_at,11.1,7.9,6,11.9,9.9,11.2,10.6,7,7.3,7.8,1.9,1.8,unknown protein
245092_at,86.2,80.1,79.3,78.6,67.5,85.9,71.7,77.3,66.7,57.6,61.9,65.8,putative TGACG-sequence-specific bZIP DNA-binding protein
245093_at,28.5,37.3,29.8,28.7,35.6,40.7,31.9,36.1,32.3,46.9,42.3,58.7,hypothetical protein predicted by genscan
245094_at,423,521.8,459.5,578.9,411,362.9,369.6,299.1,283.8,334.5,363.4,361.4,4-alpha-glucanotransferase
245095_at,14.5,12.1,14.9,19,15,16.3,9.4,19.2,11.5,14,23.1,21.8,putative protein kinase contains a protein kinase domain profile (PDOC00100)
245096_at,215.9,279,266.2,303.8,245.6,219.1,283.2,198.3,128,237.5,301.3,324.7,putative cysteine proteinase inhibitor B (cystatin B)  ;supported by full-length cDNA: Ceres:11739.
245097_at,52.9,37.3,45.8,47.7,31.4,54.8,66.8,42,47.4,53.5,63,53.9,Expressed protein ; supported by full-length cDNA: Ceres: 1297.
245098_at,375.9,378.2,385.7,402.1,395.5,403.1,354.8,352.1,253.7,545.1,466.6,341,ethylene response sensor (ERS) identical to GB:U21952:ATU21952; supported by cDNA: gi_15450903_gb_AY054532.1_
