"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source","batchcorr","refgroup","Affy_identifier","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017"
"AT2G05510",1465.500655004,1.12981087501481,0.235618973594904,4.79507595579836,1.62613204402152e-06,0.0013139853929626,"","",815100,"At2g05510 [Source:UniProtKB/TrEMBL;Acc:Q9SL16]","","","r+p","em2","265561_s_at",-0.959929475394304,4.77428149354461e-06,1.034,0.0051
"AT2G05540",1095.20990219493,1.16102199882594,0.278536356089179,4.16829607139047,3.06885150483661e-05,0.015842945893719,"","",815103,"At2g05540/T20G20.11 [Source:UniProtKB/TrEMBL;Acc:Q9SL13]","","","r+p","em2","265511_at",-1.4544008694074,9.48201366106892e-06,NA,NA
"AT2G11810",776.071013597653,-2.09789933376275,0.346233755775502,-6.05919930904435,1.36800800057313e-09,2.31131169915015e-06,"MGDC","Q9SI93",815657,"Monogalactosyldiacylglycerol synthase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SI93]","MGD3","UniProtKB Gene Name","r+p","em2","263391_at",2.08832217544784,2.91281810159085e-08,NA,NA
"AT2G36120",7066.34710772404,0.747857260103316,0.194717381595063,3.84073190578626,0.000122668025737698,0.0465262297619412,"DOT1","Q9SIH2",3768574,"Glycine-rich protein DOT1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIH2]","DOT1","UniProtKB Gene Name","r+p","em2","263285_at",-0.528616243590513,0.00102164175740472,NA,NA
"AT2G43535",2199.41360612272,-1.57707561839064,0.227674099099456,-6.92689956665521,4.30163738972983e-12,9.9932413610161e-09,"","Q8RYE7",818955,"Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7]","ATTI4","UniProtKB Gene Name","r+p","em2","260549_at",-2.29164568706378,1.29729376184343e-09,NA,NA
"AT2G43620",380.736589447802,1.9768999888276,0.329517600098938,5.99937602189999,1.98077193680632e-09,3.0677205371288e-06,"","O22841",818964,"Endochitinase At2g43620 [Source:UniProtKB/Swiss-Prot;Acc:O22841]","","","r+p","em2","260556_at",-1.55689269948746,6.96191172024633e-06,NA,NA
"AT2G45130",293.409349008871,-1.96975707383155,0.400202558018476,-4.92190025867005,8.57078952989002e-07,0.000724036924604572,"ATSPX3","Q5PP62",819120,"SPX domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5PP62]","SPX3","UniProtKB Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT3G02030",2227.7687861162,-1.09448245163557,0.209288888030268,-5.22952967993831,1.69941818225521e-07,0.000185786393630665,"","",821242,"Transferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LSS3]","","","r+p","em2",NA,NA,NA,NA,NA
"AT3G02040",3275.23533407717,-1.45011122214786,0.196604413752014,-7.37578162399218,1.63383633357367e-13,5.84274252846002e-10,"SRG3","Q9SGA2",821175,"Glycerophosphodiester phosphodiesterase GDPD1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SGA2]","GDPD1","UniProtKB Gene Name","r+p","em2","258856_at",-0.758406398694714,6.66504255791554e-05,NA,NA
"AT3G02870",1487.25007175313,-1.01501840270132,0.221531737686711,-4.58181935148611,4.60948009432968e-06,0.00329489182896605,"VTC4","",821206,"Inositol-phosphate phosphatase [Source:UniProtKB/Swiss-Prot;Acc:Q9M8S8]","VTC4","UniProtKB Gene Name","r+p","em2","258613_at",-0.769591148800025,9.70247981913963e-06,NA,NA
"AT3G03250",2699.30798025883,-0.779492600006344,0.200470117035103,-3.8883231652419,0.000100939171989316,0.0416878780315875,"UGP","",821313,"UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02]","UGP","TAIR Gene Name","r+p","em2","258849_at",0.699307201155475,6.40473358371532e-06,NA,NA
"AT3G05630",495.067685347914,-1.40870881138807,0.364544880825052,-3.86429459165584,0.00011141069775543,0.0431368295371806,"PLDP2","Q9M9W8",819730,"Phospholipase D zeta 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9W8]","PLPZETA2","UniProtKB Gene Name","r+p","em2","258887_at",0.453080910704922,0.00516130843156473,0.986,0.0056
"AT3G05770",104.688953053112,2.34136651427158,0.569577412919438,4.1107081516288,3.94447511071705e-05,0.0192915973507043,"","",819746,"F10A16.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9M9L9]","","","r+p","em2","258739_s_at",0.309788354377489,0.00874732561868665,0.914,0.0034
"AT3G09922",777.679125486817,-2.33464093639326,0.281292061660221,-8.29970430951346,1.04370834946016e-16,1.93973196747172e-12,"IPS1","",NA,"induced by phosphate starvation1 [Source:TAIR;Acc:AT3G09922]","IPS1","TAIR Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT3G10020",1107.47646646503,1.00433683616337,0.248336529571316,4.04425735471571,5.24892377777066e-05,0.0237929874170409,"","",820163,"AT3g10020/T22K18_16 [Source:UniProtKB/TrEMBL;Acc:Q9SR67]","","","r+p","em2","258939_at",-0.56120089681355,0.0181646997584349,NA,NA
"AT3G12500",1178.73952761553,-1.23601042948306,0.291571705589515,-4.23913022350379,2.24387472439076e-05,0.0119149747865149,"ATHCHIB","P19171",820429,"Basic endochitinase B [Source:UniProtKB/Swiss-Prot;Acc:P19171]","CHI-B","UniProtKB Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT3G17790",1833.46533335332,-1.00580906262174,0.242683595126089,-4.14452844288529,3.40513691858281e-05,0.0171039107113139,"ATACP5","Q9SCX8",821047,"Purple acid phosphatase 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCX8]","PAP17","UniProtKB Gene Name","r+p","em2","258158_at",0.624458941862931,0.000331014108632275,NA,NA
"AT3G47420",1327.19284377494,-1.64653214557942,0.223816442966435,-7.35661832417889,1.88627684534625e-13,5.84274252846002e-10,"ATPS3","Q9C5L3",823896,"Putative glycerol-3-phosphate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5L3]","ATPS3","TAIR Gene Name","r+p","em2","252414_at",0.744431665115359,4.54521665819729e-05,NA,NA
"AT3G49780",283.976582393336,1.60636832024365,0.361053899070236,4.44910946642669,8.6227063133335e-06,0.0052983789646428,"ATPSK4","Q9M2Y0",824140,"Phytosulfokines 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2Y0]","PSK3","UniProtKB Gene Name","r+p","em2","252234_at",-0.562742812485659,0.00058614658097149,NA,NA
"AT3G52720",1197.9624400163,-1.2026219614691,0.243923778264193,-4.93031868408723,8.2095582040603e-07,0.000724036924604572,"CAH1","",824438,"Alpha carbonic anhydrase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O04846]","ACA1","UniProtKB Gene Name","r+p","em2","252011_at",-1.01688644682995,0.0136137115917369,NA,NA
"AT4G04610",2137.90820339641,-1.1005381679368,0.209720761449014,-5.24763576258686,1.5406351109323e-07,0.00017895439710423,"APR1","P92979",825793,"5'-adenylylsulfate reductase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92979]","APR1","UniProtKB Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT4G12480",3008.45983885364,1.16225970444786,0.243628908537093,4.77061491358652,1.83664369924288e-06,0.0014222509646012,"pEARLI 1","Q39176",826860,"PEARLI 1 [Source:UniProtKB/TrEMBL;Acc:A0A178V1J0]","EARLI1","UniProtKB Gene Name","r+p","em2","254805_at",-0.560124999948075,0.0222968101055628,NA,NA
"AT4G15540",1864.41478831378,-0.878675336701936,0.222350755914373,-3.95175331466071,7.75806915897138e-05,0.0335310965859263,"","F4JK59",827227,"WAT1-related protein At4g15540 [Source:UniProtKB/Swiss-Prot;Acc:F4JK59]","","","r+p","em2",NA,NA,NA,NA,NA
"AT4G23000",406.144254324556,-1.41586165188967,0.323113604956571,-4.38193140174326,1.1763184948216e-05,0.00683183725820609,"","",828399,"Calcineurin-like metallo-phosphoesterase superfamily protein [Source:TAIR;Acc:AT4G23000]","","","r+p","em2",NA,NA,NA,NA,NA
"AT4G23670",9822.06325895233,-0.893855980808661,0.198968738000649,-4.49244433970198,7.04103242286594e-06,0.00451233060617115,"","",828467,"AT4G23670 protein [Source:UniProtKB/TrEMBL;Acc:Q9SUR0]","","","r+p","em2","254225_at",-1.46092130124635,1.64985821930188e-07,NA,NA
"AT4G33030",3848.47454402121,-1.04907941381079,0.229619033810713,-4.56878245849426,4.90565626164549e-06,0.00337672672676598,"SQD1","O48917",829440,"UDP-sulfoquinovose synthase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O48917]","SQD1","UniProtKB Gene Name","r+p","em2","253386_at",-0.443899075734478,0.00130019607224777,NA,NA
"AT4G33770",472.045322451047,-1.17294746710905,0.30338150756001,-3.86624575948169,0.000110523566693609,0.0431368295371806,"","",829519,"Inositol-tetrakisphosphate 1-kinase 2 [Source:UniProtKB/Swiss-Prot;Acc:O81893]","ITPK2","UniProtKB Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT4G37610",524.647463211821,1.66145162252666,0.314105459613405,5.28947069105881,1.22670836347274e-07,0.000151989166234273,"BT5","Q6EJ98",829915,"BTB/POZ and TAZ domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6EJ98]","BT5","UniProtKB Gene Name","r+p","em2","253061_at",-2.41620085977786,1.69726355891556e-07,NA,NA
"AT4G39800",944.904419674544,-0.982384887996474,0.239748596605578,-4.09756262145152,4.17523237246905e-05,0.0193991734105843,"MI-1-P SYNTHASE","P42801",830139,"Inositol-3-phosphate synthase isozyme 1 [Source:UniProtKB/Swiss-Prot;Acc:P42801]","IPS1","UniProtKB Gene Name","r+p","em2","252863_at",1.37266671625333,1.96257556246733e-07,NA,NA
"AT5G01220",2118.41135077008,-1.55736303575684,0.206843320926456,-7.52919179977083,5.10553421602199e-14,2.37215883511922e-10,"SQD2","Q8S4F6",831888,"Sulfoquinovosyl transferase SQD2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4F6]","SQD2","UniProtKB Gene Name","r+p","em2","251143_at",0.504646720611612,0.00509124601137092,NA,NA
"AT5G03545",2340.01097418167,-1.22425837727542,0.241724001722856,-5.06469514218561,4.09054427254154e-07,0.000400119817395708,"AT4","",831795,"At5g03545 [Source:UniProtKB/TrEMBL;Acc:Q9LZD2]","AT4","TAIR Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT5G11740",4421.67021276008,-0.745428519424236,0.188189728461711,-3.96104785057864,7.46215755859596e-05,0.0330200471967871,"AGP15","Q9LYF6",831046,"ATAGP15 [Source:UniProtKB/TrEMBL;Acc:C0SVP3]","AGP15","UniProtKB Gene Name","r+p","em2","250358_at",0.321338278270616,0.00165949196072066,NA,NA
"AT5G20150",3611.29604438361,-1.42898337130418,0.199580165867312,-7.15994680680956,8.07083718544233e-13,2.14280727273494e-09,"ATSPX1","Q8LBH4",832137,"SPX domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBH4]","SPX1","UniProtKB Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT5G20410",502.013276982005,-1.57692308377284,0.309475787747549,-5.0954651258831,3.47886060166119e-07,0.000359192357121517,"MGD2","O82730",832163,"Monogalactosyldiacylglycerol synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82730]","MGD2","UniProtKB Gene Name","r+p","em2","246075_at",0.534993832052051,0.00580383112290433,NA,NA
"AT5G20790",1887.77565629939,-1.39396332102992,0.23572275295257,-5.9135713611422,3.34768388604037e-09,4.78590038631233e-06,"","",832202,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation an /.../nsion stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G43110.1); Ha. [Source:TAIR;Acc:AT5G20790]","","","r+p","em2","246001_at",0.588140020378646,0.000231205121521764,NA,NA
"AT5G21940",843.365933853848,1.95707530050283,0.251129219781352,7.7931007081007,6.53844662958168e-15,4.05056768702585e-11,"","",832254,"At5g21940 [Source:UniProtKB/TrEMBL;Acc:Q9C593]","","","r+p","em2",NA,NA,NA,NA,NA
"AT5G27660",496.709679778201,-1.50376196391354,0.333203503569136,-4.51304367392862,6.3903856376973e-06,0.00424161846702159,"","Q3E6S8",832828,"DEG14 [Source:UniProtKB/TrEMBL;Acc:A0A178UPC0]","","","r+p","em2",NA,NA,NA,NA,NA
"AT5G52310",742.963468651785,1.25309244062002,0.291162453916485,4.30375697059983,1.67925867145562e-05,0.00917912423794198,"COR78","Q06738",835307,"Low-temperature-induced 78 kDa protein [Source:UniProtKB/Swiss-Prot;Acc:Q06738]","RD29A","UniProtKB Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT5G56550",160.999306323223,2.89359678516095,0.50630946960691,5.7150753814806,1.0965540409885e-08,1.45567548941223e-05,"OXS3","",835756,"Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9]","OXS3","TAIR Gene Name","r+p","em2",NA,NA,NA,NA,NA
"AT1G07610",2100.46921370448,0.686585383313511,0.146361288644126,4.69103128070242,2.71831403651515e-06,0.00100658691874957,"MT1C","Q38804",837274,"Metallothionein-like protein 1C [Source:UniProtKB/Swiss-Prot;Acc:Q38804]","MT1C","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G08310",526.618669453738,-0.807874615226778,0.206530997745587,-3.91163856295291,9.16720360433283e-05,0.0166803591790218,"","",837351,"Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:A8MRK8]","","","r","em2",NA,NA,NA,NA,NA
"AT1G08650",1097.67302998763,-0.560844639976208,0.14350759337469,-3.90811821721429,9.30177921243224e-05,0.0167805687040006,"PPCK1","",837387,"Phosphoenolpyruvate carboxylase kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SPK4]","PPCK1","UniProtKB Gene Name","r","em2","264783_at",-0.5904239494279,0.000292978856427085,NA,NA
"AT1G13245",747.823340746195,0.94595939354502,0.133693458841991,7.07558471251033,1.48819915861691e-12,3.4901577378808e-09,"RTFL17","",837884,"At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]","RTFL17","TAIR Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G13260",452.269852553287,0.827563144751595,0.180361567208383,4.58835636416633,4.46749532283776e-06,0.00154582661933011,"RAV1","Q9ZWM9",837886,"AP2/ERF and B3 domain-containing transcription factor RAV1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWM9]","RAV1","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G13750",399.240183841752,-0.558410985146886,0.150280965908548,-3.71577985123347,0.000202577909812222,0.0296931384889345,"","Q9LMX4",837935,"Probable inactive purple acid phosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMX4]","PAP1","UniProtKB Gene Name","r","em2","256100_at",0.398532026575306,0.0144880045821733,NA,NA
"AT1G15810",3509.01305752369,0.604377255624633,0.141705322234747,4.2650286248489,1.99876574697845e-05,0.00520838871870051,"","",838150,"At1g15810/F7H2_23 [Source:UniProtKB/TrEMBL;Acc:Q9LMQ3]","","","r","em2","259505_at",-0.379097666412528,0.00203910981188483,NA,NA
"AT1G17710",775.805443378244,-1.11962310557742,0.187385420656251,-5.97497447590284,2.30126210465837e-09,2.02386413512601e-06,"","Q9FZ62",838347,"Inorganic pyrophosphatase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ62]","","","r","em2",NA,NA,NA,0.773,0.043
"AT1G18330",748.054493646006,0.603548145281681,0.133753584979128,4.51238854925542,6.41016198175783e-06,0.00214760776109464,"EPR1","B3H5A8",838413,"Protein REVEILLE 7 [Source:UniProtKB/Swiss-Prot;Acc:B3H5A8]","RVE7","UniProtKB Gene Name","r","em2","261663_at",-0.840229256077423,0.000265159982852157,NA,NA
"AT1G19200",115.165665727997,-0.933513823882627,0.243413528024114,-3.83509425897705,0.000125516149476783,0.0211258496270209,"","",838503,"Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200]","FLZ12","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G22150",81.7418052220721,-1.42875619761015,0.404127241758824,-3.53541174653801,0.000407140217700898,0.0493879803161658,"SULTR1;3","Q9FEP7",838820,"Sulfate transporter 1.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FEP7]","SULTR1;3","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G22410",2812.99840383284,-0.478304957356082,0.119316114131878,-4.00872053901637,6.10486098023509e-05,0.0123899327605598,"","",838847,"Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]","","","r","em2","261933_at",0.449599707727662,0.000235965965980197,NA,NA
"AT1G23390",2153.84926894074,1.03478302452859,0.152200171346641,6.79882956354787,1.05472504028528e-11,1.39138008908134e-08,"","Q9LDE3",838947,"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]","","","r","em2","262986_at",-1.24351634276115,4.89881217273238e-05,NA,NA
"AT1G25560",601.642667241311,0.910248570052779,0.161635595630237,5.63148585250426,1.78663634126587e-08,1.21646881468061e-05,"TEM1","Q9C6M5",839143,"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]","TEM1","UniProtKB Gene Name","r","em2","255742_at",0.430593729171501,0.00137919956071089,NA,NA
"AT1G26770",489.073284549593,-0.565694909829519,0.154077611624401,-3.67149324204561,0.000241137455529459,0.0330499238562356,"ATEXPA10","Q9LDR9",839218,"Expansin [Source:UniProtKB/TrEMBL;Acc:F4HPC1]","ATEXPA10","TAIR Gene Name","r","em2","261266_at",-0.997755838753102,4.06481967432493e-05,NA,NA
"AT1G26800",113.570763188383,0.940954331320581,0.232893255804861,4.04028157908101,5.33870652668486e-05,0.0113822301675492,"","Q9LQX2",839223,"E3 ubiquitin-protein ligase MPSR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQX2]","MPSR1","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G28330",538.895316833911,1.02831611594998,0.181161551048854,5.67623819732404,1.37689018872924e-08,1.00213866253476e-05,"DYL1","",839729,"Dormancy-associated protein 1 [Source:UniProtKB/Swiss-Prot;Acc:B9DGG8]","DRM1","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G32450",2238.67362661708,0.57961044176191,0.151706018487616,3.82061600152814,0.000133118775780252,0.0211258496270209,"NRT1.5","Q9LQL2",840139,"Protein NRT1/ PTR FAMILY 7.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQL2]","NPF7.3","UniProtKB Gene Name","r","em2","260693_at",1.12359497977204,7.87291369842319e-07,NA,NA
"AT1G35720",3128.385518283,-0.460300582907579,0.130409496921627,-3.52965538379624,0.000416101280955888,0.0499014189609995,"ANNAT1","Q9SYT0",840476,"Annexin [Source:UniProtKB/TrEMBL;Acc:A0A178WGZ8]","ANN1","UniProtKB Gene Name","r","em2","261285_at",-0.428972729166749,0.00080017708329356,NA,NA
"AT1G49200",60.7338028386017,1.22301761732169,0.318527355367326,3.83959994868041,0.000123234952910024,0.0209767754118701,"","Q94BY6",841343,"RING-H2 finger protein ATL75 [Source:UniProtKB/Swiss-Prot;Acc:Q94BY6]","ATL75","UniProtKB Gene Name","r","em2","260770_at",-1.78224713497334,1.09810550340298e-07,NA,NA
"AT1G51390",1973.21210945353,0.841438667240787,0.175618772731814,4.79127973707994,1.65720882548908e-06,0.000672667436146117,"NFU5","Q9C8J2",841563,"NifU-like protein 5, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9C8J2]","NIFU5","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G52870",1552.78568049311,0.578379067042936,0.154470752352188,3.74426264024567,0.00018092432259148,0.0270834728860878,"","",841720,"At1g52870/F14G24_14 [Source:UniProtKB/TrEMBL;Acc:Q9C933]","","","r","em2","260155_at",0.508247398345044,0.000531664564373664,NA,NA
"AT1G53310",2286.07260492972,-0.544319497621981,0.108729456451181,-5.00618245862726,5.55201322032321e-07,0.000244138214669504,"ATPPC1","Q9MAH0",841765,"Phosphoenolpyruvate carboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAH0]","PPC1","UniProtKB Gene Name","r","em2","260590_at",0.518057140519775,0.000240094541041548,NA,NA
"AT1G53540",57.1466761885834,-1.75596598278467,0.486951370772279,-3.60603971603942,0.00031090557330775,0.0400139264378456,"","P13853",841789,"17.6 kDa class I heat shock protein 3 [Source:UniProtKB/Swiss-Prot;Acc:P13853]","HSP17.6C","UniProtKB Gene Name","r","em2","260978_at",1.14314772290812,0.000542580629708241,NA,NA
"AT1G54740",204.030555312958,0.89990332369422,0.242302482575638,3.71396658477613,0.000204035747144664,0.0297005690688443,"","",841915,"Protein of unknown function (DUF3049) [Source:TAIR;Acc:AT1G54740]","","","r","em2","264238_at",-1.10291381662467,1.13691796037294e-05,NA,NA
"AT1G55210",899.789338977479,-0.536277961522905,0.132917876360677,-4.03465640744739,5.46822555541536e-05,0.0115417836798152,"","Q9C891",841964,"Dirigent protein 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C891]","DIR20","UniProtKB Gene Name","r","em2","259655_at",0.76217207591996,1.64411520784611e-06,NA,NA
"AT1G61800",497.717167069241,-1.88842542927092,0.205285529096365,-9.19901874030514,3.61233309643669e-20,1.90613786666223e-16,"GPT2","Q94B38",842477,"glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","TAIR Gene Name","r","em2","264400_at",5.48732813978091,1.37877601696773e-06,2.331,0.00034
"AT1G62180",3784.50238795645,-0.464207097187434,0.121316092635304,-3.8264263800757,0.000130017009679089,0.0211258496270209,"APR2","",842514,"5'-adenylylsulfate reductase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92981]","APR2","UniProtKB Gene Name","r","em2","264745_at",-0.874580311237748,7.22528987069536e-06,NA,NA
"AT1G62510",1807.14233301477,0.574506573562913,0.152430287607248,3.7689791351912,0.000163916587572338,0.0250709232890532,"","",842548,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SXE6]","","","r","em2","265111_at",-3.05129821865104,5.89181354390732e-10,NA,NA
"AT1G65390",322.208404602547,0.934501942062219,0.221807437582891,4.21312266281869,2.51864191389219e-05,0.0061104568823589,"ATPP2-A5","Q9C5Q9",842851,"Protein PHLOEM PROTEIN 2-LIKE A5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5Q9]","PP2A5","UniProtKB Gene Name","r","em2","264213_at",-1.15962148680875,9.13627626972509e-07,NA,NA
"AT1G65970",492.000235581173,0.681159521220914,0.172620686277215,3.94599011225702,7.94708932297517e-05,0.0155314087351886,"TPX2","Q9SRZ4",842909,"TPX2 [Source:UniProtKB/TrEMBL;Acc:A0A178WKG0]","PRXIIC","UniProtKB Gene Name","r","em2","264923_s_at",1.12499548633062,0.000134340134020173,NA,NA
"AT1G66230",73.0002603490956,1.09700254094276,0.276111725891174,3.97303858574674,7.09615485029875e-05,0.0141300509835147,"MYB20","Q9C7U7",842938,"Transcription factor MYB20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7U7]","MYB20","TAIR Gene Name","r","em2","259822_at",-1.12309913628574,3.7778352477641e-06,NA,NA
"AT1G66730",617.304468666092,-0.617349725119147,0.148033780170153,-4.17033007202514,3.04158781426662e-05,0.00713319933285838,"AtLIG6","F4HPZ9",842991,"DNA ligase 6 [Source:UniProtKB/Swiss-Prot;Acc:F4HPZ9]","LIG6","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
