"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT1G26560",0.597934026687255,0.00272458277027836,"BGLU40","Beta-glucosidase 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZE0]","BGLU40","p","nm2",-0.502421414470013,0.0177661403280699,NA,NA,0.744215728,0.022246998
"AT1G26580",-0.482382538344361,0.0493014082927243,"","At1g26580 [Source:UniProtKB/TrEMBL;Acc:Q9FZE2]","","p","em24",NA,NA,NA,NA,-0.306435601,4.66e-05
"AT1G27020",-0.820327808591394,0.014232720456508,"","Plant/protein [Source:UniProtKB/TrEMBL;Acc:O04551]","","p","en2",NA,NA,NA,NA,-1.082499518,1.52e-14
"AT1G27130",-0.512796108028349,0.00648001446398393,"ATGSTU13","Glutathione S-transferase U13 [Source:UniProtKB/Swiss-Prot;Acc:Q9FUS6]","GSTU13","p","nm2",0.404050660531032,0.00132251351121048,NA,NA,-0.386277736,0.04241918
"AT1G27730",1.34414050666809,1.69187857828015e-05,"STZ","Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]","ZAT10","p","em24",1.53453700178067,6.30474118492131e-07,1.195,0.00069,-2.116336246,1.75e-21
"AT1G28370",2.58146637753371,0.0241532326491704,"ERF11","ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]","ERF11","p","en24",0.596634036384657,0.000316377215850794,NA,NA,-1.826965551,3.09e-07
"AT1G28370",3.1834267647189,0.0458014481361342,"ERF11","ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]","ERF11","r","em24",0.596634036384657,0.000316377215850794,NA,NA,-1.826965551,3.09e-07
"AT1G28370",2.11389809593348,7.75361417916706e-05,"ERF11","ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]","ERF11","p","em24",0.596634036384657,0.000316377215850794,NA,NA,-1.826965551,3.09e-07
"AT1G28380",0.405575427193711,0.03159210992588,"NSL1","NSL1 [Source:UniProtKB/TrEMBL;Acc:A0A178WFB2]","NSL1","p","em24",0.749684568363034,7.45365334485263e-06,NA,NA,-0.62787357,0.01009274
"AT1G28600",-0.4923770019373,0.00184352779093455,"","GDSL esterase/lipase At1g28600 [Source:UniProtKB/Swiss-Prot;Acc:Q94F40]","","p","en2",0.967319293897792,3.6698867761528e-06,1.042,0.0029,-1.077411989,3.87e-25
"AT1G29900",0.562082783954112,0.0176733320529847,"CARB","Carbamoyl-phosphate synthase large chain, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42601]","CARB","p","em24",-0.362103779241904,0.0199366696784609,NA,NA,0.416980039,0.014454724
"AT1G30490",-0.562578332663072,0.0110000317289259,"PHV","Homeobox-leucine zipper protein ATHB-9 [Source:UniProtKB/Swiss-Prot;Acc:O04292]","ATHB-9","p","em24",NA,NA,NA,NA,0.544827726,0.000527186
"AT1G31812",-0.673757690281521,0.02433934266829,"ACBP6","ACBP6 [Source:UniProtKB/TrEMBL;Acc:A0A178WJ33]","ACBP6","p","en6",0.378750650764609,0.00267933484742178,NA,NA,0.500922514,5.13e-05
"AT1G32920",0.826170520522877,0.035472744455095,"","At1g32920/F9L11_25 [Source:UniProtKB/TrEMBL;Acc:Q93WI1]","","p","em24",1.1687494967872,4.16473776507332e-05,1.019,0.00072,-0.73903202,0.00391091
"AT1G33590",-0.600607530035037,0.0221985758833251,"","Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT1G33590]","","p","nm24",-1.0222621911369,1.30882117932817e-05,0.742,0.00041,-1.07241548,1.7e-36
"AT1G47395",5.79846054629425,0.0142807028295559,"","At1g47390 [Source:UniProtKB/TrEMBL;Acc:Q8GUL3]","","r","em6",NA,NA,NA,NA,1.319341151,6.12e-05
"AT1G47400",9.95022606947867,0.0497389576777575,"","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G47395.1); Ha. [Source:TAIR;Acc:AT1G47400]","","r","em6",-4.58015947811815,1.43264980039607e-10,NA,NA,1.399986751,0.001132523
"AT1G48840",0.448568132231589,0.0421880443553873,"","Heat-inducible transcription repressor (DUF639) [Source:UniProtKB/TrEMBL;Acc:Q8VXZ2]","","p","nm2",-0.679626660480827,0.000353180754130361,NA,NA,-0.326013805,0.00602331
"AT1G49130",0.964291516491455,0.015386224849021,"","B-box type zinc finger protein with CCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4I1N0]","","p","en2",NA,NA,NA,NA,1.035028687,4.45e-06
"AT1G49200",1.10551981282372,0.0198731661127983,"","RING-H2 finger protein ATL75 [Source:UniProtKB/Swiss-Prot;Acc:Q94BY6]","ATL75","p","em2",-1.78224713497334,1.09810550340298e-07,NA,NA,1.474729888,1.81e-09
"AT1G49200",1.22301761732169,0.0209767754118701,"","RING-H2 finger protein ATL75 [Source:UniProtKB/Swiss-Prot;Acc:Q94BY6]","ATL75","r","em2",-1.78224713497334,1.09810550340298e-07,NA,NA,1.474729888,1.81e-09
"AT1G51660",0.577400969469837,0.0156463493871385,"ATMKK4","MKK4 [Source:UniProtKB/TrEMBL;Acc:A0A178WCC0]","MKK4","p","em24",1.14757321872668,5.9640104142737e-07,0.757,0.0029,-0.597349441,0.004894178
"AT1G52240",0.588276781913883,0.0275358891588223,"ATROPGEF11","ROPGEF11 [Source:UniProtKB/TrEMBL;Acc:A0A178W8V0]","ROPGEF11","p","en2",NA,NA,NA,NA,0.644604333,0.01704938
"AT1G52700",-1.52631567669944,0.0153532562225604,"","Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1P8AQT5]","","p","nm24",-0.3754094232982,0.0375730776403323,NA,NA,1.099693999,0.032280854
"AT1G54580",-0.396442271852643,0.0252240163803982,"ACP2","Acyl carrier protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P25701]","ACP2","p","nm2",NA,NA,NA,NA,0.98991189,3.49e-16
"AT1G54730",0.780405206121981,0.00273612873563182,"","Sugar transporter ERD6-like 5 [Source:UniProtKB/Swiss-Prot;Acc:Q3ECP7]","","p","nm2",-0.628683930446979,0.000325018978691935,NA,NA,0.679869877,7.94e-07
"AT1G55330",-1.23028029068787,0.0273939744250322,"AGP21","ATAGP21 [Source:UniProtKB/TrEMBL;Acc:A0A178W6X6]","AGP21","p","en6",NA,NA,NA,NA,1.350152652,5.45e-06
"AT1G56580",-0.635325130511953,0.0410686072392069,"SVB","At1g56580/F25P12_18 [Source:UniProtKB/TrEMBL;Acc:Q9FXB0]","SVB","p","en6",-0.284487873403675,0.00767355736296503,NA,NA,0.6559057,7.05e-07
"AT1G57990",1.33743506654615,0.0166603134564542,"ATPUP18","PUP18 [Source:UniProtKB/TrEMBL;Acc:A0A178WC51]","PUP18","p","em24",0.72852466450656,0.000860092993220718,NA,NA,-0.97271303,3.68e-09
"AT1G58080",-0.39268444598835,0.0384919758385999,"ATATP-PRT1","HISN1A [Source:UniProtKB/TrEMBL;Acc:A0A178WM39]","HISN1A","p","em2",-0.837901011443491,3.25452338265e-06,NA,NA,0.303899146,0.019008797
"AT1G59910",0.702773716979936,0.00741580467130401,"","Formin-like protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIE0]","FH7","p","em24",0.738712795195905,0.000279609044568688,NA,NA,-0.48796836,0.017781054
"AT1G59980",-0.622622864945169,0.0111569064066026,"ATDJC39","Chaperone protein dnaJ 39 [Source:UniProtKB/Swiss-Prot;Acc:Q6XL73]","ATJ39","p","em24",-0.291931361469757,0.0341583433091681,NA,NA,0.540309768,0.014538405
"AT1G61800",-2.29524428807301,0.00194673823798673,"GPT2","glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","p","em2",5.48732813978091,1.37877601696773e-06,2.331,0.00034,-1.837317112,4.48e-18
"AT1G61800",-1.99291915171141,0.00220242505262799,"GPT2","glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","r","nm2",5.48732813978091,1.37877601696773e-06,2.331,0.00034,-1.837317112,4.48e-18
"AT1G61800",-1.88842542927092,1.90613786666223e-16,"GPT2","glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","r","em2",5.48732813978091,1.37877601696773e-06,2.331,0.00034,-1.837317112,4.48e-18
"AT1G61800",-1.66456668602138,0.000432111682082925,"GPT2","glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","r+p","em2",5.48732813978091,1.37877601696773e-06,2.331,0.00034,-1.837317112,4.48e-18
"AT1G61800",-1.52473951188521,0.0383229039910333,"GPT2","glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","p","nm2",5.48732813978091,1.37877601696773e-06,2.331,0.00034,-1.837317112,4.48e-18
"AT1G61820",0.867464464999459,0.0359854069853479,"BGLU46","Beta-glucosidase 46 [Source:UniProtKB/Swiss-Prot;Acc:O80690]","BGLU46","p","nm2",NA,NA,NA,NA,-1.532568988,2.12e-09
"AT1G62180",-0.464207097187434,0.0211258496270209,"APR2","5'-adenylylsulfate reductase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92981]","APR2","r","em2",-0.874580311237748,7.22528987069536e-06,NA,NA,-0.89336612,1.42e-09
"AT1G62180",-0.570026751193525,0.0155745519502211,"APR2","5'-adenylylsulfate reductase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92981]","APR2","p","em2",-0.874580311237748,7.22528987069536e-06,NA,NA,-0.89336612,1.42e-09
"AT1G62440",1.00056822156579,0.027731220941685,"LRX2","Leucine-rich repeat extensin-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O48809]","LRX2","p","em24",NA,NA,NA,NA,1.233906663,1.24e-06
"AT1G62440",-0.935091032714179,0.00615228822622711,"LRX2","Leucine-rich repeat extensin-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O48809]","LRX2","p","nm2",NA,NA,NA,NA,1.233906663,1.24e-06
"AT1G62510",-0.855401383594701,0.032468052953359,"","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SXE6]","","p","en6",-3.05129821865104,5.89181354390732e-10,NA,NA,0.500970829,0.000214078
"AT1G62510",0.574506573562913,0.0250709232890532,"","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SXE6]","","r","em2",-3.05129821865104,5.89181354390732e-10,NA,NA,0.500970829,0.000214078
"AT1G63930",-1.0360723819729,0.0182310185339589,"ROH1","At1g63930 [Source:UniProtKB/TrEMBL;Acc:Q9CAK4]","ROH1","p","nm2",NA,NA,NA,NA,-1.8940095,4.26e-06
"AT1G65040",-0.723126184971042,0.00718000775380387,"","ERAD-associated E3 ubiquitin-protein ligase HRD1B [Source:UniProtKB/Swiss-Prot;Acc:Q6NPT7]","HRD1B","p","em24",NA,NA,NA,NA,-0.375621029,0.001002429
"AT1G65070",0.464862775742358,0.0273424761000494,"","DNA mismatch repair protein MutS, type 2 [Source:UniProtKB/TrEMBL;Acc:Q9SS53]","","p","nm2",-0.574338851770292,0.00156956054466125,NA,NA,0.411275837,0.000125005
"AT1G65070",-0.614158966689902,0.027731220941685,"","DNA mismatch repair protein MutS, type 2 [Source:UniProtKB/TrEMBL;Acc:Q9SS53]","","p","em24",-0.574338851770292,0.00156956054466125,NA,NA,0.411275837,0.000125005
"AT1G65310",-0.769020004409535,0.00763036247713725,"ATXTH17","xyloglucan endotransglucosylase/hydrolase 17 [Source:TAIR;Acc:AT1G65310]","ATXTH17","p","nm2",0.719175233203278,0.00509923481666579,NA,NA,3.698606032,1.2e-09
"AT1G65370",-0.755288334483999,0.0218289138098648,"","At1g65370/T8F5_15 [Source:UniProtKB/TrEMBL;Acc:Q940M1]","","p","em24",-0.447415185957582,0.0030229693081548,NA,NA,0.556627301,4.2e-06
"AT1G65970",0.681159521220914,0.0155314087351886,"TPX2","TPX2 [Source:UniProtKB/TrEMBL;Acc:A0A178WKG0]","PRXIIC","r","em2",1.12499548633062,0.000134340134020173,NA,NA,-1.358239976,1.14e-12
"AT1G66090",1.52699186966678,0.00430217327414014,"","Disease resistance protein (TIR-NBS class) [Source:UniProtKB/TrEMBL;Acc:Q9C515]","","p","em24",2.37350559025411,4.92896461334516e-05,NA,NA,-1.227982783,0.008473729
"AT1G67195",0.864654909841386,0.00347143368556426,NA,NA,NA,"p","em2",NA,NA,NA,NA,-0.927616766,1.46e-06
"AT1G67810",-0.965220592661584,0.0388855202807947,"SUFE2","SufE-like protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FXE3]","SUFE2","p","nm2",2.13064837511367,1.03201652289999e-06,1.609,0.023,-1.098872957,6.2e-14
"AT1G67890",0.426506987785475,0.0438081649466214,"","PAS domain-containing protein tyrosine kinase family protein [Source:UniProtKB/TrEMBL;Acc:F4HVH9]","","p","nm2",NA,NA,NA,NA,-0.397263777,0.007252821
"AT1G68520",0.688334302603188,0.00317247194929927,"","Zinc finger protein CONSTANS-LIKE 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG76]","COL6","p","en2",-1.90640095953974,2.58722826297488e-08,NA,NA,1.386192021,1.56e-26
"AT1G68520",0.724712959446746,0.00317677428428553,"","Zinc finger protein CONSTANS-LIKE 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG76]","COL6","p","en6",-1.90640095953974,2.58722826297488e-08,NA,NA,1.386192021,1.56e-26
"AT1G68890",-0.535014186823256,0.035472744455095,"","Protein PHYLLO, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q15KI9]","PHYLLO","p","em24",-0.394234964725239,0.0110283025129153,NA,NA,0.630706531,2.6e-05
"AT1G68890",0.614299186645601,0.0121211416253126,"","Protein PHYLLO, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q15KI9]","PHYLLO","p","nm2",-0.394234964725239,0.0110283025129153,NA,NA,0.630706531,2.6e-05
"AT1G69490",1.7239983756241,0.0423101326568206,"NAP","NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]","NAC029","p","en6",3.02078550357009,1.52808302696869e-09,NA,NA,-0.351004762,0.003284709
"AT1G69490",1.39413175665557,0.0198237274615324,"NAP","NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]","NAC029","r","em2",3.02078550357009,1.52808302696869e-09,NA,NA,-0.351004762,0.003284709
"AT1G69490",2.00713674227414,0.00360157593244745,"NAP","NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]","NAC029","p","em2",3.02078550357009,1.52808302696869e-09,NA,NA,-0.351004762,0.003284709
"AT1G69750",-0.801109439827898,0.00630890765924926,"COX19-2","At1g66590 [Source:UniProtKB/TrEMBL;Acc:Q9C9L6]","COX19-2","p","em24",NA,NA,NA,NA,-0.779826182,3.63e-09
"AT1G71030",1.04683341217737,5.14085806161409e-12,"ATMYBL2","At1g71030/F23N20_2 [Source:UniProtKB/TrEMBL;Acc:Q9C9A5]","ATMYBL2","r","em2",-0.835296133871686,5.27712310367743e-05,NA,NA,-0.804227058,1.72e-13
