original_genename;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene;description_ITAG4.0;goterm;gene_id_versionless;ensembl_gene_id;description_ITAG3.0;athaliana_eg_homolog_ensembl_gene;athaliana_eg_homolog_associated_gene_name;external_gene_name;athaliana_eg_homolog_perc_id
mRNA:Solyc03g062720.3.1;231.58564359468426;1.0617202451518788;0.2682517874276039;3.957924214907299;7.560393569734862e-5;0.038926078997858576;Solyc03g062720.3;Photosynthetic NDH subcomplex B 2 (AHRD V3.3 *** A0A0F7GZL7_9ROSI);;Solyc03g062720;Solyc03g062720.3;"NDH-dependent cyclic electron flow 1 [Source:Projected from Arabidopsis thaliana (AT1G64770) UniProtKB/TrEMBL;Acc:F4I890]";AT1G64770;NDF2;;47.2934
mRNA:Solyc03g083400.3.1;929.029367258983;-0.8206103442824813;0.20267737766657987;-4.048850215698219;5.146987081598906e-5;0.03526887901286787;Solyc03g083400.3;CCT motif protein (AHRD V3.3 *** A0A2K3PQC2_TRIPR);GO:0005515;Solyc03g083400;Solyc03g083400.3;;AT5G53420;;;52
mRNA:Solyc03g083400.3.1;929.029367258983;-0.8206103442824813;0.20267737766657987;-4.048850215698219;5.146987081598906e-5;0.03526887901286787;Solyc03g083400.3;CCT motif protein (AHRD V3.3 *** A0A2K3PQC2_TRIPR);GO:0005515;Solyc03g083400;Solyc03g083400.3;;AT4G27900;;;47.6364
mRNA:Solyc03g115310.1.1;5.002663405762273;-6.002697331297873;1.484153928002379;-4.044524774716124;5.2429364224752635e-5;0.03526887901286787;Solyc03g115310.1;Expansin (AHRD V3.3 *** K4BL33_SOLLC);;Solyc03g115310;Solyc03g115310.1;"Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33]";AT5G39300;EXPA25;;58.3012
mRNA:Solyc03g115310.1.1;5.002663405762273;-6.002697331297873;1.484153928002379;-4.044524774716124;5.2429364224752635e-5;0.03526887901286787;Solyc03g115310.1;Expansin (AHRD V3.3 *** K4BL33_SOLLC);;Solyc03g115310;Solyc03g115310.1;"Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33]";AT5G39280;EXPA23;;57.9151
mRNA:Solyc03g115310.1.1;5.002663405762273;-6.002697331297873;1.484153928002379;-4.044524774716124;5.2429364224752635e-5;0.03526887901286787;Solyc03g115310.1;Expansin (AHRD V3.3 *** K4BL33_SOLLC);;Solyc03g115310;Solyc03g115310.1;"Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33]";AT5G39290;EXPA26;;55.5985
mRNA:Solyc03g115310.1.1;5.002663405762273;-6.002697331297873;1.484153928002379;-4.044524774716124;5.2429364224752635e-5;0.03526887901286787;Solyc03g115310.1;Expansin (AHRD V3.3 *** K4BL33_SOLLC);;Solyc03g115310;Solyc03g115310.1;"Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33]";AT5G39270;EXPA22;;55.9846
mRNA:Solyc03g115310.1.1;5.002663405762273;-6.002697331297873;1.484153928002379;-4.044524774716124;5.2429364224752635e-5;0.03526887901286787;Solyc03g115310.1;Expansin (AHRD V3.3 *** K4BL33_SOLLC);;Solyc03g115310;Solyc03g115310.1;"Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33]";AT5G39310;EXPA24;;56.7568
mRNA:Solyc03g115310.1.1;5.002663405762273;-6.002697331297873;1.484153928002379;-4.044524774716124;5.2429364224752635e-5;0.03526887901286787;Solyc03g115310.1;Expansin (AHRD V3.3 *** K4BL33_SOLLC);;Solyc03g115310;Solyc03g115310.1;"Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33]";AT5G39260;EXPA21;;50.9653
mRNA:Solyc03g117630.1.1;26.39846131207988;-3.610416001129113;0.900791193328063;-4.0080498431496325;6.122220116890745e-5;0.03526887901286787;Solyc03g117630.1;Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN);;Solyc03g117630;Solyc03g117630.1;;;;;NA
mRNA:Solyc03g123410.1.1;1275.3050191613706;1.561228781730082;0.40125147469923045;3.890898551588741;9.987368594302137e-5;0.04652449203512412;Solyc03g123410.1;Germin-like protein.1;GO:0045735;Solyc03g123410;Solyc03g123410.1;;AT1G72610;GLP1;;67.7885
mRNA:Solyc04g011390.1.1;282.5448640375927;0.9725816060088383;0.23335473981799779;4.1678245180166105;3.075205272505789e-5;0.03008319557828788;Solyc04g011390.1;Histone H4 (AHRD V3.3 *-* F2E7L1_HORVV);;Solyc04g011390;Solyc04g011390.1;"Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057]";;;;NA
mRNA:Solyc04g011440.4.1;760.2396959483747;-1.143041424708078;0.2511489601043607;-4.551248885255612;5.332841949489962e-6;0.01709264645210905;Solyc04g011440.4;ethylene-responsive heat shock protein cognate 70;;Solyc04g011440;NA;NA;NA;NA;NA;NA
mRNA:Solyc04g014600.3.1;338.5783857983853;-1.270283570681718;0.3168551020565943;-4.009036188581964;6.09670738749904e-5;0.03526887901286787;Solyc04g014600.3;Adenine nucleotide alpha hydrolases-like superfamily protein (AHRD V3.3 *** A0A2U1NYH2_ARTAN);;Solyc04g014600;Solyc04g014600.3;;AT3G03270;;;57.4074
mRNA:Solyc04g016175.2.1;7.08999725624868;-5.309992979985891;1.3646919829632846;-3.890982761147172;9.983902675801035e-5;0.04652449203512412;Solyc04g016175.2;RNA-binding protein (AHRD V3.3 *-* Q941H9_TOBAC);GO:0003676;Solyc04g016175;Solyc04g016175.1;;AT5G59865;;;44.697
mRNA:Solyc04g074900.3.1;16.92227629211113;3.7263406386260853;0.9387497261143137;3.96947187835698;7.203210710169401e-5;0.038926078997858576;Solyc04g074900.3;40S ribosomal protein S.1;GO:0003735,GO:0005622,GO:0005840,GO:0006412;Solyc04g074900;Solyc04g074900.3;"40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:K4BU28]";AT3G53890;RPS21B;;78.0488
mRNA:Solyc04g074900.3.1;16.92227629211113;3.7263406386260853;0.9387497261143137;3.96947187835698;7.203210710169401e-5;0.038926078997858576;Solyc04g074900.3;40S ribosomal protein S.1;GO:0003735,GO:0005622,GO:0005840,GO:0006412;Solyc04g074900;Solyc04g074900.3;"40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:K4BU28]";AT5G27700;RPS21C;;79.2683
mRNA:Solyc04g078325.1.1;28.36711678780446;-4.602123440756405;0.8874645011659259;-5.185698621984614;2.152065875263667e-7;0.004210516884953364;Solyc04g078325.1;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc04g081530.1.1;222.86997245002755;1.2202297810861114;0.2984523092315522;4.088525179208462;4.341244315686127e-5;0.03266786347553811;Solyc04g081530.1;Chaperone protein DnaJ (AHRD V3.3 *** A0A2G3CQH5_CAPCH);;Solyc04g081530;Solyc04g081530.1;;;;;NA
mRNA:Solyc05g008105.1.1;1268.3367038270105;-1.0464135646198724;0.20746466274798225;-5.0438158998238825;4.5633838357887357e-7;0.00446413023736033;Solyc05g008105.1;hydroxyproline-rich glycoprotein family protein (AHRD V3.3 --* AT1G23040.3);;Solyc05g008105;NA;NA;NA;NA;NA;NA
mRNA:Solyc05g054610.1.1;112.68454681336662;1.7828269590367427;0.4218141270145193;4.226570057420992;2.372804197773217e-5;0.02730818478201941;Solyc05g054610.1;Histone H4 (AHRD V3.3 *-* F2E7L1_HORVV);;Solyc05g054610;Solyc05g054610.1;"Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057]";;;;NA
mRNA:Solyc06g007190.4.1;75.04604888160259;-3.2948518683852894;0.817985726900966;-4.028006553205052;5.625177613695376e-5;0.03526887901286787;Solyc06g007190.4;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc06g036290.3.1;2944.51127305572;-1.3741546280126462;0.34687669414562033;-3.961507507436548;7.447803987219807e-5;0.038926078997858576;Solyc06g036290.3;heat shock protein 90;GO:0005524,GO:0006457,GO:0051082;Solyc06g036290;Solyc06g036290.3;;;;;NA
mRNA:Solyc06g065970.1.1;841.6200959759286;1.4906868849247437;0.3693696826926446;4.035758630913832;5.442614746200635e-5;0.03526887901286787;Solyc06g065970.1;Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (AHRD V3.3 *** A0A2U1PU47_ARTAN);;Solyc06g065970;Solyc06g065970.1;;;;;NA
mRNA:Solyc07g049530.3.1;571.1915525110645;-1.4266342684729307;0.3201204891033678;-4.456554069590549;8.32876013959553e-6;0.018105799125687393;Solyc07g049530.3;1-aminocyclopropane-1-carboxylate oxidase 1;GO:0016491,GO:0055114;Solyc07g049530;Solyc07g049530.3;"1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P05116]";AT1G12010;;ACO1;71.1111
mRNA:Solyc07g049530.3.1;571.1915525110645;-1.4266342684729307;0.3201204891033678;-4.456554069590549;8.32876013959553e-6;0.018105799125687393;Solyc07g049530.3;1-aminocyclopropane-1-carboxylate oxidase 1;GO:0016491,GO:0055114;Solyc07g049530;Solyc07g049530.3;"1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P05116]";AT1G62380;ACO2;ACO1;70.7936
mRNA:Solyc07g052790.3.1;73.02000871506311;-1.6131671460464179;0.37910365024847426;-4.255213963223796;2.0884920152057934e-5;0.02730818478201941;Solyc07g052790.3;Disease resistance protein (TIR-NBS-LRR class) (AHRD V3.3 *** F4KIC7_ARATH);GO:0043531;Solyc07g052790;Solyc07g052790.2;;;;;NA
mRNA:Solyc07g063870.3.1;854.256505903711;-0.5849434643842374;0.15091959333015628;-3.8758616524005425;1.0624804276645512e-4;0.04834285945873708;Solyc07g063870.3;Uncharacterized conserved protein (UCP012943) (AHRD V3.3 *-* AT5G54540.1);;Solyc07g063870;Solyc07g063870.3;;AT5G54540;;;30.1205
mRNA:Solyc07g064870.3.1;43.717228107151286;-1.804880251654102;0.41543361557870545;-4.344569586984134;1.3954900329529583e-5;0.02529777621538571;Solyc07g064870.3;Endoglucanase (AHRD V3.3 *** A0A2G2WGL3_CAPBA);GO:0004553,GO:0005975;Solyc07g064870;Solyc07g064870.3;"Endoglucanase [Source:UniProtKB/TrEMBL;Acc:K4CHG6]";;;;NA
mRNA:Solyc08g007820.1.1;44.293809091241364;-4.690855518267698;0.9476513164197289;-4.949980480151677;7.422092526436462e-7;0.004840441342657646;Solyc08g007820.1;Dehydration-responsive element-binding protein 1E (AHRD V3.3 *** A0A2G2W337_CAPBA);GO:0003700,GO:0006355;Solyc08g007820;Solyc08g007820.1;;AT1G12610;DREB1F;;38.5246
mRNA:Solyc08g007820.1.1;44.293809091241364;-4.690855518267698;0.9476513164197289;-4.949980480151677;7.422092526436462e-7;0.004840441342657646;Solyc08g007820.1;Dehydration-responsive element-binding protein 1E (AHRD V3.3 *** A0A2G2W337_CAPBA);GO:0003700,GO:0006355;Solyc08g007820;Solyc08g007820.1;;AT1G63030;DREB1E;;36.8852
mRNA:Solyc08g036620.4.1;8.97426413219081;-6.8433802500012;1.4377765986900826;-4.759696503779523;1.9388428018039576e-6;0.007586691883458886;Solyc08g036620.4;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc08g062437.1.1;114.42242429340044;-1.593772278926736;0.3850678264756819;-4.138939089026663;3.4891556307156796e-5;0.031029695415887397;Solyc08g062437.1;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc08g082190.3.1;12950.726057041888;-0.6372166565039232;0.15380863756235502;-4.142918542176095;3.42913769482129e-5;0.031029695415887397;Solyc08g082190.3;Unknown protein;;Solyc08g082190;Solyc08g082190.3;;;;;NA
mRNA:Solyc09g015010.2.1;19.46196092871142;-4.280402160523881;0.9542727862066521;-4.485512132792751;7.273900702007507e-6;0.01778923340434711;Solyc09g015010.2;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc09g015020.1.1;8.906072120755322;-4.696441349521147;1.1241343671334498;-4.177829169565471;2.9430456087409946e-5;0.03008319557828788;Solyc09g015020.1;Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR);;Solyc09g015020;Solyc09g015020.1;;AT3G46230;HSP17.4A;;71.4286
mRNA:Solyc09g015020.1.1;8.906072120755322;-4.696441349521147;1.1241343671334498;-4.177829169565471;2.9430456087409946e-5;0.03008319557828788;Solyc09g015020.1;Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR);;Solyc09g015020;Solyc09g015020.1;;AT5G59720;HSP18.1;;72.0779
mRNA:Solyc09g015020.1.1;8.906072120755322;-4.696441349521147;1.1241343671334498;-4.177829169565471;2.9430456087409946e-5;0.03008319557828788;Solyc09g015020.1;Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR);;Solyc09g015020;Solyc09g015020.1;;AT1G53540;HSP17.6C;;72.7273
mRNA:Solyc09g061420.3.1;204.9323364337494;1.1177835812209593;0.26353198475913414;4.2415480695544545;2.2198333256517248e-5;0.02730818478201941;Solyc09g061420.3;phosphoglycolate phosphatase (AHRD V3.3 *** AT5G48830.1);;Solyc09g061420;Solyc09g061420.3;;AT5G48830;;;46.0039
mRNA:Solyc10g008910.1.1;148.18591476546632;1.344910610462614;0.34532639194398623;3.89460707851361;9.835803571557937e-5;0.04652449203512412;Solyc10g008910.1;Histone H3 (AHRD V3.3 *** B3TM40_ELAGV);GO:0000786,GO:0003677;Solyc10g008910;Solyc10g008910.1;"Histone H3 [Source:UniProtKB/TrEMBL;Acc:K4AY75]";;;;NA
mRNA:Solyc10g055540.2.1;6.2619630341650385;5.914847591828314;1.408340914765361;4.1998691721696995;2.670692505710913e-5;0.029028943819018896;Solyc10g055540.2;Dimer_Tnp_hAT domain-containing protein (AHRD V3.3 *** A0A1Q3CIR7_CEPFO);GO:0046983;Solyc10g055540;Solyc10g055540.2;;;;;NA
mRNA:Solyc10g076510.2.1;141.54345037281874;-1.9334203474464164;0.4840037496415659;-3.9946391921100433;6.479284768877911e-5;0.036219201858027524;Solyc10g076510.2;Pyruvate decarboxylase (AHRD V3.3 *** Q8H9C6_SOLTU);GO:0000287,GO:0030976;Solyc10g076510;Solyc10g076510.2;;AT5G54960;PDC2;;82.2554
mRNA:Solyc10g078590.2.1;278.40490870161517;-1.1613645772322065;0.240086977018564;-4.837266026063578;1.3163719625771839e-6;0.00643870436195565;Solyc10g078590.2;Jacalin-related lectin 3 (AHRD V3.3 *-* A0A2G3BI13_CAPCH);;Solyc10g078590;Solyc10g078590.2;;AT5G18130;;;39.9194
mRNA:Solyc10g078590.2.1;278.40490870161517;-1.1613645772322065;0.240086977018564;-4.837266026063578;1.3163719625771839e-6;0.00643870436195565;Solyc10g078590.2;Jacalin-related lectin 3 (AHRD V3.3 *-* A0A2G3BI13_CAPCH);;Solyc10g078590;Solyc10g078590.2;;AT3G03870;;;37.5
mRNA:Solyc12g015880.2.1;5645.80051269895;-0.7861662686810187;0.18129172204642022;-4.33647085375315;1.4478861576980505e-5;0.02529777621538571;Solyc12g015880.2;Heat shock protein 90-1;GO:0005524,GO:0006457,GO:0051082;Solyc12g015880;Solyc12g015880.2;"Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4]";AT5G56010;HSP90-3;;92.99
mRNA:Solyc12g015880.2.1;5645.80051269895;-0.7861662686810187;0.18129172204642022;-4.33647085375315;1.4478861576980505e-5;0.02529777621538571;Solyc12g015880.2;Heat shock protein 90-1;GO:0005524,GO:0006457,GO:0051082;Solyc12g015880;Solyc12g015880.2;"Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4]";AT5G56000;HSP90-4;;91.8455
mRNA:Solyc12g015880.2.1;5645.80051269895;-0.7861662686810187;0.18129172204642022;-4.33647085375315;1.4478861576980505e-5;0.02529777621538571;Solyc12g015880.2;Heat shock protein 90-1;GO:0005524,GO:0006457,GO:0051082;Solyc12g015880;Solyc12g015880.2;"Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4]";AT5G56030;HSP81-2;;93.2761
