Group.1,original_genename,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,description_ITAG4.0,goterm,gene_id_versionless,ensembl_gene_id,description_ITAG3.0,athaliana_eg_homolog_ensembl_gene,athaliana_eg_homolog_associated_gene_name,external_gene_name,athaliana_eg_homolog_perc_id
Solyc03g117630.1,mRNA:Solyc03g117630.1.1,26.4012887782044,-0.0726280083586045,0.170781796812754,7.04950459495794e-05,0.0472341116498717,Solyc03g117630.1,Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN),,Solyc03g117630,Solyc03g117630.1,,,,,"NA"
Solyc03g123410.1,mRNA:Solyc03g123410.1.1,1273.89230146211,1.33024798270775,0.435165345581874,8.50444822514459e-05,0.048633402420379,Solyc03g123410.1,Germin-like protein.1,GO:0045735,Solyc03g123410,Solyc03g123410.1,,AT1G72610,GLP1,,67.7885
Solyc04g011390.1,mRNA:Solyc04g011390.1.1,282.413641208391,0.84803313691673,0.250993476726148,3.43717177942063e-05,0.0402374034036749,Solyc04g011390.1,Histone H4 (AHRD V3.3 *-* F2E7L1_HORVV),,Solyc04g011390,Solyc04g011390.1,Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057],,,,"NA"
Solyc04g011440.4,mRNA:Solyc04g011440.4.1,760.412240863718,-1.02732592029593,0.26446822871191,4.5801774761543e-06,0.0177994857078308,Solyc04g011440.4,ethylene-responsive heat shock protein cognate 70,,Solyc04g011440,"NA","NA","NA","NA","NA","NA"
Solyc04g014600.3,mRNA:Solyc04g014600.3.1,337.946383027946,-1.08861924697248,0.344850545543917,6.3207201137177e-05,0.0438635401891602,Solyc04g014600.3,Adenine nucleotide alpha hydrolases-like superfamily protein (AHRD V3.3 *** A0A2U1NYH2_ARTAN),,Solyc04g014600,Solyc04g014600.3,,AT3G03270,,,57.4074
Solyc04g074900.3,mRNA:Solyc04g074900.3.1,16.9050773957437,3.14717451354894,1.05603933376868,9.00088187490901e-05,0.048633402420379,Solyc04g074900.3,40S ribosomal protein S.1,"GO:0003735,GO:0005622,GO:0005840,GO:0006412",Solyc04g074900,Solyc04g074900.3,40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:K4BU28],"AT3G53890,AT5G27700","RPS21B,RPS21C",,"78.0488,79.2683"
Solyc04g078325.2,mRNA:Solyc04g078325.2.1,28.3727465785266,-0.100658229687051,0.203716347702805,2.65844433741334e-07,0.00392222187013995,Solyc04g078325.2,Cytochrome P450 (AHRD V3.11 *-* tr|A0A200QZM5|A0A200QZM5_9MAGN),"GO:0005506,GO:0016705,GO:0020037,GO:0055114",Solyc04g078325,"NA","NA","NA","NA","NA","NA"
Solyc04g081530.1,mRNA:Solyc04g081530.1.1,222.741826052479,1.05499795022308,0.323248683300285,4.62387748129088e-05,0.0430546640909499,Solyc04g081530.1,Chaperone protein DnaJ (AHRD V3.3 *** A0A2G3CQH5_CAPCH),,Solyc04g081530,Solyc04g081530.1,,,,,"NA"
Solyc05g008105.1,mRNA:Solyc05g008105.1.1,1268.7266962143,-0.962651833697628,0.215950225997261,4.03707670232099e-07,0.00392222187013995,Solyc05g008105.1,hydroxyproline-rich glycoprotein family protein (AHRD V3.3 --* AT1G23040.3),,Solyc05g008105,"NA","NA","NA","NA","NA","NA"
Solyc05g054610.1,mRNA:Solyc05g054610.1.1,112.616361050689,1.55466725921103,0.458165140891224,2.65358659757916e-05,0.0370150295868272,Solyc05g054610.1,Histone H4 (AHRD V3.3 *-* F2E7L1_HORVV),,Solyc05g054610,Solyc05g054610.1,Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P35057],,,,"NA"
Solyc06g007190.5,mRNA:Solyc06g007190.5.1,75.022995366481,-0.0850726166955429,0.182875413544691,5.37806594320704e-05,0.0438635401891602,Solyc06g007190.5,Protein phosphatase 2C (AHRD V3.11 *** tr|O24078|O24078_MEDSA),GO:0003824,Solyc06g007190,"NA","NA","NA","NA","NA","NA"
Solyc06g036290.3,mRNA:Solyc06g036290.3.1,2944.80289557646,-1.18837855236655,0.373292629943842,6.00040588963567e-05,0.0438635401891602,Solyc06g036290.3,heat shock protein 90,"GO:0005524,GO:0006457,GO:0051082",Solyc06g036290,Solyc06g036290.3,,,,,"NA"
Solyc06g065970.1,mRNA:Solyc06g065970.1.1,840.750029737665,1.28723021949947,0.396982558900545,4.65312102264396e-05,0.0430546640909499,Solyc06g065970.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (AHRD V3.3 *** A0A2U1PU47_ARTAN),,Solyc06g065970,Solyc06g065970.1,,,,,"NA"
Solyc07g049530.3,mRNA:Solyc07g049530.3.1,562.175406689365,-1.27703568517847,0.338184964823333,6.59306267840969e-06,0.0213516334840298,Solyc07g049530.3,1-aminocyclopropane-1-carboxylate oxidase 1,"GO:0016491,GO:0055114",Solyc07g049530,Solyc07g049530.3,1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:P05116],"AT1G12010,AT1G62380",",ACO2",ACO1,"71.1111,70.7936"
Solyc07g052790.3,mRNA:Solyc07g052790.3.1,73.0453462851097,-1.40841541413842,0.415013161986707,2.62240809158025e-05,0.0370150295868272,Solyc07g052790.3,Disease resistance protein (TIR-NBS-LRR class) (AHRD V3.3 *** F4KIC7_ARATH),GO:0043531,Solyc07g052790,Solyc07g052790.2,,,,,"NA"
Solyc07g064870.3,mRNA:Solyc07g064870.3.1,43.7300497232695,-1.58345138314086,0.455883731842662,1.99511925792699e-05,0.0352428748188903,Solyc07g064870.3,Endoglucanase (AHRD V3.3 *** A0A2G2WGL3_CAPBA),"GO:0004553,GO:0005975",Solyc07g064870,Solyc07g064870.3,Endoglucanase [Source:UniProtKB/TrEMBL;Acc:K4CHG6],,,,"NA"
Solyc08g007820.1,mRNA:Solyc08g007820.1.1,44.2869519551803,-0.0761122046912224,0.174608719050617,7.52834743534739e-07,0.00487611063387451,Solyc08g007820.1,Dehydration-responsive element-binding protein 1E (AHRD V3.3 *** A0A2G2W337_CAPBA),"GO:0003700,GO:0006355",Solyc08g007820,Solyc08g007820.1,,"AT1G12610,AT1G63030","DREB1F,DREB1E",,"38.5246,36.8852"
Solyc08g082190.3,mRNA:Solyc08g082190.3.1,12951.9696149919,-0.574063092357858,0.161624273932194,3.04095163027425e-05,0.0393924874185726,Solyc08g082190.3,Unknown protein,,Solyc08g082190,Solyc08g082190.3,,,,,"NA"
Solyc09g009220.5,mRNA:Solyc09g009220.5.1,485.284019209998,-1.68766904105431,0.473894856151292,1.34598932836372e-05,0.0326923982992943,Solyc09g009220.5,histone-lysine N-methyltransferase SETD1B-like protein Chr5:947311-949898 FORWARD LENGTH=516 201606 (AHRD V3.11 *** AT5G03670.1),,Solyc09g009220,Solyc09g009220.3,,"AT2G36420,AT5G03670",,,"28.8945,36.6834"
Solyc09g015020.1,mRNA:Solyc09g015020.1.1,8.91630500295222,-0.071671031949803,0.170166616057107,4.14784034233375e-05,0.042419308258888,Solyc09g015020.1,Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR),,Solyc09g015020,Solyc09g015020.1,,"AT3G46230,AT5G59720,AT1G53540","HSP17.4A,HSP18.1,HSP17.6C",,"71.4286,72.0779,72.7273"
Solyc09g061420.3,mRNA:Solyc09g061420.3.1,204.884033820845,0.977721120534597,0.284950709808155,2.66692611916824e-05,0.0370150295868272,Solyc09g061420.3,phosphoglycolate phosphatase (AHRD V3.3 *** AT5G48830.1),,Solyc09g061420,Solyc09g061420.3,,AT5G48830,,,46.0039
Solyc10g055540.2,mRNA:Solyc10g055540.2.1,6.26334901975344,6.58911740376196,2.83289183779502,3.83255928200354e-05,0.0413724774492283,Solyc10g055540.2,Dimer_Tnp_hAT domain-containing protein (AHRD V3.3 *** A0A1Q3CIR7_CEPFO),GO:0046983,Solyc10g055540,Solyc10g055540.2,,,,,"NA"
Solyc10g076510.2,mRNA:Solyc10g076510.2.1,141.540884672182,-1.65352551042227,0.530823127337072,6.28611062914034e-05,0.0438635401891602,Solyc10g076510.2,Pyruvate decarboxylase (AHRD V3.3 *** Q8H9C6_SOLTU),"GO:0000287,GO:0030976",Solyc10g076510,Solyc10g076510.2,,AT5G54960,PDC2,,82.2554
Solyc10g078590.2,mRNA:Solyc10g078590.2.1,278.462274156411,-1.05704606512907,0.253119254430809,1.38083175577303e-06,0.00670773546160645,Solyc10g078590.2,Jacalin-related lectin 3 (AHRD V3.3 *-* A0A2G3BI13_CAPCH),,Solyc10g078590,Solyc10g078590.2,,"AT5G18130,AT3G03870",,,"39.9194,37.5"
Solyc12g015880.2,mRNA:Solyc12g015880.2.1,5646.65085125723,-0.702409329773815,0.190312086665228,1.20408713260208e-05,0.0326923982992943,Solyc12g015880.2,Heat shock protein 90-1,"GO:0005524,GO:0006457,GO:0051082",Solyc12g015880,Solyc12g015880.2,Molecular chaperone Hsp90-1 [Source:UniProtKB/TrEMBL;Acc:Q6UJX4],"AT5G56010,AT5G56000,AT5G56030","HSP90-3,HSP90-4,HSP81-2",,"92.99,91.8455,93.2761"
Solyc12g089020.3,mRNA:Solyc12g089020.3.1,20.9077674140147,-0.104064920749473,0.206258970218854,8.95906553016679e-05,0.048633402420379,Solyc12g089020.3,Protein kinase domain (AHRD V3.11 *** tr|A0A200R7I5|A0A200R7I5_9MAGN),,Solyc12g089020,Solyc12g089020.2,,,,,"NA"
